rainfall_mm,fertilizer_kg,sunshine_hours,soil_type,yield_tonnes
3.4481,3.6502,3.0737,sand,-2.7117
1.7873,6.8835,1.7425,silt,-26.9168
1.1521,7.4987,1.9318,silt,-11.4961
2.3131,6.3705,4.9878,clay,2.5553
1.8067,3.6611,3.3914,sand,1.9527
1.898,3.706,0.6126,sand,-4.841
1.4544,3.2737,5.3338,clay,12.8099
4.9816,5.5773,1.713,silt,0.1276
6.5881,2.412,5.5744,silt,-2.8909
6.6191,7.0926,0.493,clay,14.6815
5.4067,0.8588,2.2314,sand,0.1187
3.8266,1.5707,2.8561,clay,4.9066
7.2704,4.4686,2.0092,silt,-7.4753
7.4817,3.3018,7.2017,clay,-6.0632
7.154,6.409,8.9625,clay,3.5414
2.6151,6.6962,2.0427,clay,-5.1881
5.2933,1.0858,3.757,clay,-4.3781
0.6015,4.1958,3.3589,silt,8.238
5.1571,2.9526,4.6113,sand,-15.7092
9.3206,0.7448,1.3443,silt,29.9089
1.1578,13.2438,5.5876,sand,6.5453
2.8125,2.6736,0.7223,silt,3.2991
5.8707,4.194,3.2851,clay,-6.9804
3.7078,2.285,4.6002,silt,-5.6264
4.3945,3.1954,5.8225,sand,-3.071
3.1328,1.8323,1.8581,clay,-2.2295
2.1036,2.9921,2.5732,sand,7.3116
2.8786,5.2752,2.7474,sand,0.8795
2.6166,4.2464,5.3411,sand,-15.5702
5.4479,1.1033,1.8804,sand,12.9816
7.4788,8.0129,3.3388,clay,-12.5553
4.7781,3.6841,6.6206,silt,6.0754
3.0451,1.8432,2.4463,silt,-2.6236
1.1934,2.273,4.8687,clay,-4.4401
3.7536,1.6897,1.5629,clay,10.6503
1.5,0.6195,1.9661,sand,13.1494
1.0335,2.4678,5.5504,sand,4.6263
1.3541,4.5633,1.9124,sand,-11.1813
4.5814,3.4794,4.8187,sand,-10.915
2.0829,1.3879,0.8351,silt,0.2396
4.4075,5.1349,3.1335,sand,-3.1584
8.1749,9.5053,7.0761,clay,-24.4365
0.871,1.5951,1.8595,clay,-4.1941
8.479,13.4354,1.8836,sand,14.88
2.8518,0.8019,1.8665,sand,-5.1714
1.6256,1.2815,3.005,silt,1.19
1.3599,4.2779,5.8932,sand,16.2091
6.4061,1.7066,3.5133,silt,4.5083
6.8293,10.5664,0.6443,clay,2.9626
2.4665,4.1447,4.5879,sand,-15.4343
6.6104,7.9561,5.1435,silt,1.0274
2.0639,5.1946,2.8343,sand,11.272
3.9552,6.3867,2.5473,clay,-10.8011
2.5935,1.0831,1.1451,sand,2.8429
13.0991,3.1097,3.7951,sand,-16.5585
2.6666,13.6791,6.0771,sand,8.2997
9.6054,0.3003,4.7393,clay,31.6558
7.8631,7.7434,2.0593,silt,-13.6847
5.8504,3.2434,4.2024,silt,15.0134
1.5536,2.0975,2.5571,clay,-0.1476
1.5413,4.4833,5.3526,silt,8.3171
3.1897,4.2054,1.4348,silt,-3.3346
3.5492,4.7852,2.1691,sand,-7.9677
1.4319,2.6637,2.9398,silt,1.8141
3.32,3.2237,2.1177,silt,-6.3022
3.0774,0.7712,5.8686,sand,-7.2982
3.4052,2.0976,11.4956,sand,-5.0372
2.1566,12.3597,5.041,sand,-46.0213
0.752,5.4851,5.5192,sand,-5.6116
3.5428,5.0907,1.9719,silt,-3.1713
3.7361,3.6845,2.3081,sand,7.3576
1.6968,2.4043,3.3681,clay,-0.402
1.1806,2.4848,2.5693,sand,-0.3101
1.2743,12.9953,2.9514,silt,-4.8458
2.4151,1.5823,5.3552,sand,5.997
6.1722,7.1876,9.6284,sand,0.0967
4.5591,4.0983,2.7584,sand,0.8099
4.5954,3.8564,2.5942,clay,29.1199
8.0974,0.6251,2.2573,sand,-15.9769
1.4802,2.0072,6.146,silt,-0.9078
0.5616,6.4361,4.5466,clay,11.9814
12.4774,3.9091,1.2863,clay,21.4468
1.5496,3.091,1.0087,clay,1.715
0.3589,3.633,2.3557,silt,-1.1203
3.0989,2.7716,4.899,sand,-2.6895
7.4857,1.299,0.6016,silt,-2.4071
2.3895,10.154,5.0013,clay,20.8379
1.0279,4.9644,6.0307,silt,-20.3747
6.1745,3.695,14.0339,clay,-7.063
3.2967,1.9927,2.3411,clay,0.1565
2.387,4.8695,0.2969,clay,-0.6582
2.0971,2.9363,5.2254,clay,-1.9431
10.7143,3.4058,4.599,clay,14.6736
3.7127,2.9685,3.5155,silt,-4.0486
3.9572,1.153,3.2408,silt,-10.9879
5.9534,1.236,1.0887,silt,9.064
1.7159,0.3453,2.5005,clay,4.1572
4.8248,4.956,2.7625,silt,-9.5535
3.973,0.8196,3.7784,sand,0.0464
0.9627,1.897,14.0053,clay,25.9107
3.4454,4.6173,2.8497,sand,8.1213
8.6136,3.357,3.0499,sand,-28.995
2.91,1.1432,1.4563,silt,5.6768
3.356,0.8554,4.4648,silt,-7.8015
1.4662,5.6446,2.4638,clay,-2.0695
3.419,5.0738,3.848,silt,10.304
3.1182,3.4537,3.186,clay,11.9791
7.1738,1.4867,1.029,silt,18.938
9.4225,1.786,2.3502,silt,1.4773
1.726,3.3134,2.8628,silt,-0.5657
3.0308,1.8248,7.7495,sand,7.1437
5.4975,1.1603,13.7349,silt,12.3274
4.0762,2.4866,3.1949,sand,1.3818
3.9156,3.2714,3.2141,sand,-19.879
2.6134,4.7438,0.8159,silt,1.1805
7.5323,0.5946,4.5822,clay,30.524
2.0934,4.1964,7.8614,silt,-6.4255
3.7712,0.3464,5.0384,silt,-4.2961
2.2614,3.7259,3.7256,sand,8.3099
9.4745,2.906,6.8051,silt,3.5597
3.3579,2.5496,0.6318,sand,7.1416
2.6141,3.6905,1.92,silt,0.1844
4.6941,6.3569,6.841,clay,2.575
4.8327,4.2325,2.6056,silt,8.9095
4.5717,0.5074,1.7768,sand,-4.3516
1.2154,1.4367,10.138,silt,-4.2091
4.2795,1.0079,7.7919,sand,-12.7163
3.0781,3.07,0.9158,clay,4.1027
0.6742,5.1566,1.9048,silt,-1.3043
0.5606,5.19,2.2172,clay,-8.6395
5.5119,1.5618,3.5839,clay,11.8527
2.2336,3.5958,1.5495,silt,-11.5325
3.4903,10.0318,2.2909,silt,11.0651
1.1398,0.7243,3.2299,sand,-2.6382
4.0743,6.5383,3.5876,sand,-5.3224
1.3447,2.6657,10.076,clay,-13.5449
5.808,5.3043,5.7709,silt,3.0567
2.4161,1.8139,4.5004,sand,13.0229
0.4763,3.6303,9.0318,sand,-16.386
1.6783,4.9382,0.704,sand,0.6604
2.675,8.0945,6.9667,silt,30.7412
2.994,7.7845,3.6969,sand,-2.0041
5.705,9.1928,3.1322,sand,7.2508
2.1423,16.4162,10.0383,silt,-15.1866
4.387,2.8878,4.3327,sand,12.6744
5.6378,1.3372,1.6199,sand,-19.8467
2.4937,3.1439,2.1539,clay,-1.2913
5.4462,6.9605,1.5544,sand,-5.648
4.94,3.0273,4.9251,silt,-6.2047
5.9595,3.6025,1.4273,clay,6.7544
