packet_rate,failed_logins,latency_ms,protocol,intrusion
0.9236,1.9612,1.437,udp,1
5.6875,4.1037,1.3654,udp,1
5.9069,4.1676,-0.0677,udp,0
5.5335,8.939,0.2379,udp,0
0.6559,4.3717,-1.1213,icmp,1
6.2731,2.9094,0.1756,udp,0
7.9226,6.0803,0.4661,udp,1
5.3016,3.184,-1.1164,icmp,0
3.6648,7.9129,0.2199,tcp,1
2.946,3.2164,-0.0625,tcp,0
7.1191,6.9816,-1.2957,tcp,0
4.7371,7.6583,-0.2953,tcp,0
0.6686,0.6753,-1.3066,icmp,1
1.3179,0.6932,-0.1614,tcp,0
7.1974,0.9048,-2.3633,icmp,1
4.3517,6.7036,-0.2424,udp,1
8.2911,7.1151,-0.0866,tcp,0
7.5829,1.7057,-0.0256,icmp,1
1.7557,3.6844,0.3325,icmp,0
1.3618,1.8646,0.6318,tcp,0
1.3843,3.893,-0.183,tcp,0
5.9076,4.6068,0.5206,udp,0
2.9288,4.3258,0.8297,udp,1
2.2807,3.1331,-1.4984,icmp,0
3.5155,3.6906,-1.926,tcp,0
2.1459,0.507,-0.7966,udp,0
2.2754,7.9955,-0.0848,tcp,0
9.6016,5.694,-0.344,icmp,1
0.6566,4.2329,0.993,udp,0
3.3919,6.3736,-1.4095,tcp,1
4.1335,3.8591,-0.6528,icmp,1
1.4228,2.6824,-0.3354,udp,0
7.2477,11.8089,-0.1238,icmp,1
1.8078,8.2918,0.707,icmp,1
5.6723,3.9311,-1.6413,tcp,1
0.6706,1.6173,-0.6605,icmp,0
1.358,1.9407,-0.9943,tcp,0
13.4321,5.3259,-0.5216,tcp,0
5.4217,1.4261,1.1005,udp,1
2.3755,3.6168,-0.01,icmp,1
1.2019,12.7761,-1.3018,tcp,1
2.3589,0.4794,-1.739,udp,1
4.7878,4.1938,-0.1597,icmp,0
1.9873,0.6386,0.5342,tcp,1
2.3417,3.0306,2.1956,udp,1
4.5628,1.1503,-0.2613,tcp,1
2.8656,4.7258,0.6248,udp,1
6.0109,5.7626,-0.4395,udp,0
1.0761,10.05,-0.9858,tcp,1
4.0457,3.5094,-1.0677,udp,0
1.4853,0.6955,1.1319,icmp,1
2.077,3.7235,-0.0941,tcp,0
3.7001,3.2306,-0.9096,icmp,0
1.6898,7.5533,-0.2153,icmp,1
0.5982,6.2539,-0.3797,tcp,1
2.7956,0.2338,-1.6928,udp,0
2.6691,9.4254,0.3324,tcp,1
3.1983,0.3895,-1.7904,icmp,1
1.6998,1.7314,-0.0804,tcp,1
5.0537,1.7794,-0.5649,icmp,0
8.9978,1.2935,-0.4902,tcp,0
4.1091,0.5402,1.2032,udp,0
2.0424,5.921,0.0056,udp,0
7.1057,4.2195,0.5148,udp,1
2.7406,2.0102,0.7226,udp,1
3.2136,5.012,-0.1051,udp,1
6.043,4.7378,-1.1484,udp,0
4.6158,2.1171,0.4894,udp,0
1.626,3.5521,-1.7972,icmp,1
3.4664,8.9628,0.7996,udp,0
6.2295,4.7204,-0.2227,icmp,1
0.4872,4.3056,0.2528,udp,0
2.0516,6.0078,-0.7617,tcp,1
1.8172,2.9769,-0.1099,tcp,0
5.0911,5.2497,0.9804,udp,1
6.3725,1.9911,-1.3849,tcp,1
7.8871,2.3059,-1.1201,udp,1
3.6523,1.1232,-0.1896,tcp,1
1.8312,3.607,0.573,udp,0
6.8223,3.4194,0.2854,udp,1
5.7877,3.4801,-0.0852,udp,1
3.8181,6.0362,-2.6139,tcp,1
1.6955,2.0895,-0.5985,tcp,0
1.3402,0.7771,0.4589,udp,1
4.9122,1.0359,-0.5088,udp,0
2.8214,4.0619,-0.5041,tcp,1
1.8587,15.4358,-0.6623,udp,1
1.9426,0.5923,-1.6286,tcp,0
5.2965,0.5035,0.5667,icmp,1
4.6364,4.1591,1.6518,tcp,1
0.3596,3.1654,-0.5709,udp,0
0.838,8.6083,1.6,udp,0
4.5243,1.0608,1.0393,tcp,1
3.5917,6.743,0.3207,icmp,1
4.2962,6.7968,0.1905,icmp,0
10.9582,3.2137,0.4456,udp,0
3.4001,2.3451,-0.6553,udp,0
1.1219,7.1668,0.7526,udp,1
2.2454,2.7641,-0.3633,udp,1
4.0266,3.7999,-0.8799,tcp,1
6.0247,1.716,0.4934,icmp,0
0.6113,3.9087,1.5777,udp,0
6.6161,11.7997,-1.3714,tcp,1
4.1833,2.52,-1.2202,udp,1
3.499,1.8816,-0.6239,tcp,0
2.9129,3.9864,1.029,tcp,1
3.1414,2.8815,0.464,icmp,1
1.3498,5.7607,-1.0024,icmp,1
4.6973,6.3526,0.7844,icmp,0
8.2978,1.9443,-0.5227,tcp,0
3.3355,2.8353,-1.2076,udp,1
3.455,3.3273,-0.1314,tcp,1
0.9834,3.6175,-0.1384,udp,1
2.9197,2.4298,-1.0176,udp,0
0.6902,2.1448,0.731,icmp,1
6.6091,2.971,-0.2221,udp,1
1.5119,1.812,-0.4245,tcp,1
1.023,9.4064,-1.6537,tcp,1
9.0972,3.2447,-0.6184,udp,1
5.9566,2.6292,0.9579,udp,0
1.2374,1.5514,-0.7882,icmp,1
3.3906,0.3933,0.203,icmp,1
2.0831,2.8746,-0.0459,icmp,0
3.9448,9.4838,1.4341,icmp,1
5.1518,1.5906,-0.0451,tcp,1
6.3842,1.068,-0.4739,tcp,1
2.0869,0.8686,0.1244,udp,1
6.7359,0.9549,-0.4996,udp,1
6.4363,7.2616,0.3161,icmp,0
4.4906,4.8591,1.2431,tcp,0
2.0756,3.4171,-0.4867,tcp,0
2.4372,7.4527,-0.967,icmp,0
5.3843,2.6311,-0.2229,icmp,1
6.3641,1.3745,0.8411,icmp,1
2.9015,0.5342,-0.1643,icmp,1
1.7709,7.675,-0.7304,udp,1
1.2322,2.8105,0.6056,icmp,0
1.6694,5.7286,0.9528,udp,0
6.5346,5.9093,-0.1409,icmp,0
4.8533,0.3635,-0.7364,udp,0
6.8065,5.7846,-0.5162,udp,1
3.7638,1.4414,-0.6277,icmp,1
0.1771,5.8794,-0.4923,tcp,1
2.0537,0.8611,0.1301,udp,1
1.0848,4.8911,-0.9961,icmp,1
5.6926,2.7264,0.7077,tcp,0
3.8538,5.8268,0.4195,icmp,1
1.6246,7.3162,-3.3221,udp,1
4.1124,0.7717,1.6934,udp,1
1.1973,8.3836,0.0756,udp,0
3.4146,8.4914,-0.3946,icmp,0
