volatility_index,leverage_ratio,liquidity_ratio,sector,high_risk
4.1728,0.1557,-0.0723,insurance,1
1.4183,0.6823,-0.0353,insurance,0
1.1385,-0.1176,-0.3116,insurance,0
2.9162,-0.1751,-0.9303,insurance,0
3.4301,0.8469,0.5513,asset_mgmt,1
6.3482,-0.2414,-0.0157,insurance,1
4.3694,0.5087,-0.9106,asset_mgmt,1
1.5766,0.1698,0.4487,banking,1
3.2171,0.1741,0.3715,insurance,1
2.8471,0.2798,-0.3055,insurance,1
4.6558,0.0184,0.7253,banking,0
0.3361,-0.2303,0.4421,insurance,1
6.9226,-0.8341,-0.995,banking,1
1.8175,-0.654,-0.9451,insurance,0
8.0716,0.435,-0.7583,insurance,1
6.1091,-0.4695,0.0149,insurance,0
1.816,0.4435,-0.1697,asset_mgmt,1
1.1562,0.9196,0.7198,insurance,0
6.8154,0.3963,0.1417,banking,0
1.4198,-0.8564,-0.9874,asset_mgmt,0
2.4131,0.381,-0.5847,banking,1
3.6856,0.6623,-0.6283,banking,1
6.3034,0.7008,-0.2309,banking,1
2.5932,0.9472,-0.243,banking,1
9.4967,0.0483,0.3591,insurance,0
2.0824,0.202,0.8839,banking,1
2.0963,-0.3004,-0.7779,insurance,0
1.9386,-0.7851,0.8477,asset_mgmt,0
8.143,0.1339,0.162,asset_mgmt,1
1.8116,0.5831,0.4341,banking,0
7.5778,0.1819,0.4019,asset_mgmt,0
1.7356,0.7607,-0.7624,banking,0
5.6379,0.5598,-0.6502,banking,1
0.2156,-0.0111,-0.3197,asset_mgmt,0
6.4552,0.7774,-0.284,banking,1
5.3222,-0.015,0.7698,asset_mgmt,1
1.4036,0.9062,0.5126,banking,1
6.986,0.2989,-0.8976,asset_mgmt,1
2.6438,-0.0049,0.4612,banking,0
9.8984,-0.6267,0.9285,insurance,0
3.2282,0.7968,0.5641,banking,1
2.0168,-0.8926,-0.8407,banking,0
1.6786,-0.8543,0.9463,banking,1
2.1683,0.175,0.877,asset_mgmt,0
5.25,-0.9311,0.0597,insurance,0
1.0913,0.0469,0.8971,asset_mgmt,0
3.5636,0.3973,-0.2827,banking,1
6.2126,0.3052,0.5857,banking,1
5.451,-0.9972,-0.0938,banking,0
1.4021,-0.1333,-0.2062,asset_mgmt,1
3.1625,0.9466,0.8919,asset_mgmt,1
4.6513,-0.4493,0.6155,banking,0
5.9691,0.2151,0.5796,insurance,0
4.9433,0.613,0.6712,asset_mgmt,1
5.3015,0.2646,-0.3176,insurance,0
3.997,0.9102,0.6056,banking,0
1.3785,-0.6721,-0.4625,insurance,1
2.1018,-0.4071,0.8247,banking,1
4.5507,-0.5924,0.9274,asset_mgmt,1
0.177,-0.7731,-0.8616,insurance,1
6.6596,-0.1694,-0.2881,insurance,0
2.2395,-0.0362,-0.8929,asset_mgmt,1
2.5783,-0.0692,-0.2482,insurance,0
5.0936,0.9903,-0.963,insurance,0
2.4244,0.8605,-0.1644,asset_mgmt,1
5.8034,0.1637,0.2517,banking,0
4.7166,0.1354,0.4577,banking,1
1.0018,0.7724,-0.5941,banking,1
2.9034,0.7685,0.6562,insurance,0
1.7878,-0.9359,0.4902,insurance,0
3.0356,0.615,0.0578,insurance,0
4.887,0.7145,0.643,insurance,0
11.0525,-0.3288,0.4552,asset_mgmt,0
4.5107,0.9157,-0.5042,insurance,1
12.9846,0.0419,0.9967,insurance,1
4.7788,-0.9296,0.1534,insurance,1
4.826,0.2864,0.657,banking,0
0.4188,-0.5845,-0.9803,banking,1
1.2241,-0.4311,-0.2681,banking,0
1.341,0.1859,-0.9922,asset_mgmt,1
2.1952,0.4676,-0.3933,insurance,1
2.3308,-0.5286,-0.6097,asset_mgmt,1
4.8277,0.4842,-0.6693,asset_mgmt,1
2.3511,0.2226,0.8137,banking,0
8.5286,-0.5471,-0.2624,asset_mgmt,0
2.8111,0.9073,0.6059,banking,0
2.7942,-0.3722,0.4021,insurance,1
1.9558,-0.5082,0.9672,insurance,0
7.5999,-0.9487,0.1872,banking,0
8.4086,0.1842,-0.6519,banking,0
5.9642,-0.0736,-0.0507,asset_mgmt,1
10.2711,-0.5482,0.275,banking,1
2.4278,-0.2803,0.7387,banking,1
5.087,0.2367,-0.3702,insurance,0
3.6875,-0.4262,0.0811,insurance,0
6.9301,-0.3995,0.4929,banking,1
3.8798,0.3991,-0.9025,insurance,1
15.5142,0.0412,-0.3056,asset_mgmt,1
2.0679,-0.9082,-0.4915,asset_mgmt,0
2.3779,0.8197,-0.8045,insurance,1
3.5906,0.3531,-0.4481,asset_mgmt,1
4.3106,-0.5502,0.7526,insurance,0
2.2398,0.5575,-0.9474,insurance,1
2.7346,0.8496,-0.7514,banking,0
4.9183,-0.9202,0.2753,banking,1
1.9538,-0.8524,-0.8512,banking,0
7.6258,0.8573,0.8309,banking,0
1.6536,0.033,0.3826,insurance,1
