tenure_months,support_tickets,usage_hours,plan,geography,churned
8.1836,3.745,1.5615,enterprise,south,1
1.1209,5.1583,0.8938,pro,south,1
7.5266,0.2571,-0.2359,enterprise,west,1
0.5762,1.0808,1.1201,basic,north,1
1.9616,6.6881,1.5948,basic,west,0
1.9096,2.3517,-0.7202,pro,east,0
3.9715,3.3058,-1.2396,enterprise,west,1
1.388,2.4099,1.3496,pro,west,0
5.031,3.4043,-1.5719,pro,east,1
3.4559,3.2977,-1.0296,basic,south,0
1.4739,3.4995,-0.6451,basic,north,1
7.958,7.6218,1.1221,pro,north,1
8.112,1.4916,-0.2744,enterprise,east,1
3.2872,2.3427,0.3488,enterprise,north,0
8.3602,2.849,1.2741,pro,east,0
3.316,7.1227,-0.8195,basic,west,0
4.9184,9.91,-1.1533,basic,south,0
7.8623,3.1503,0.8864,enterprise,north,0
11.5954,2.7397,0.1883,enterprise,west,0
1.7298,4.0095,1.306,basic,south,0
3.1388,3.3218,-0.3016,basic,east,0
0.5316,2.1281,-0.4175,enterprise,north,0
0.7729,3.7866,0.5524,pro,west,1
1.758,1.3534,-0.9716,pro,south,1
4.1643,8.6239,-1.0115,pro,east,0
9.8204,0.9936,-0.9064,pro,north,1
1.8638,4.2677,-2.4497,pro,south,0
2.106,1.6168,-1.0446,enterprise,east,0
3.0499,9.4165,-0.3473,basic,east,0
