visits,time_on_site,engagement_score,industry,region,converted
6.1034,-0.656,-0.4435,finance,NA,0
6.0083,2.232,-0.9379,tech,NA,0
4.1924,0.3598,0.4959,tech,NA,1
1.297,0.1108,0.6611,health,APAC,1
0.5228,-0.8948,-0.3175,finance,EU,0
2.3552,-0.0334,0.0763,finance,APAC,0
5.2624,-1.6388,-0.242,finance,NA,1
3.5829,-1.0779,-0.5173,health,APAC,1
9.7258,0.0566,-0.262,finance,APAC,0
3.9447,-0.3236,0.9018,tech,EU,0
1.5807,-0.1734,-0.3955,tech,NA,1
4.4206,-0.4663,-0.1191,tech,EU,1
2.5193,0.7278,-0.8296,health,APAC,1
2.4412,-1.3227,0.1373,health,NA,1
7.8773,-1.6164,-0.0602,finance,APAC,1
5.5692,0.3414,-0.7704,tech,NA,1
2.936,1.1193,0.3995,health,EU,1
3.9429,2.1255,0.1504,health,APAC,0
2.3648,-1.5882,-0.0165,finance,EU,1
2.95,0.1306,-0.0903,finance,EU,0
13.8141,-2.3984,-0.003,tech,APAC,0
1.7021,0.2931,-0.3785,finance,NA,0
1.7603,-0.1705,0.9605,health,NA,0
0.5495,-0.5909,0.0155,finance,APAC,0
1.9019,0.1199,0.8657,health,EU,0
6.8528,-0.4878,0.6415,finance,NA,1
0.5481,-1.0924,-0.18,tech,EU,0
1.183,-0.4014,0.4374,health,NA,0
5.4552,0.0136,-0.799,finance,NA,0
3.7366,-0.5533,-0.6499,finance,NA,0
3.8195,0.7247,-0.4247,tech,EU,1
0.8186,1.5472,-0.7867,finance,APAC,0
3.4222,-0.0291,0.2128,finance,NA,1
1.8564,-0.437,0.2565,health,EU,0
4.2483,0.4033,0.7529,health,NA,0
1.8904,1.1027,-0.7185,health,EU,1
2.4812,-1.0711,0.3447,health,NA,0
1.0746,-0.5961,-0.0715,health,NA,1
4.3144,-0.8524,0.8988,health,APAC,0
1.2103,-0.0659,-0.5655,tech,NA,1
1.0845,1.5729,0.6484,tech,APAC,1
2.2187,0.8556,0.1728,tech,NA,1
2.5977,0.3331,0.7329,finance,NA,1
6.7842,1.9214,-0.2759,finance,APAC,0
1.5878,0.2512,-0.1968,finance,EU,1
6.44,-0.9124,0.9893,finance,EU,0
1.1772,0.1764,-0.543,finance,APAC,0
2.781,0.3653,-0.8135,health,NA,0
3.3735,-0.7313,0.7362,finance,EU,0
5.191,-1.3592,-0.4429,finance,APAC,1
7.427,0.6877,-0.382,tech,NA,1
4.8196,0.1663,-0.3182,health,APAC,0
4.2848,-2.0973,0.2142,tech,NA,0
1.8212,0.2825,-0.8904,tech,EU,1
3.0817,0.1399,0.3361,finance,NA,0
7.4283,-0.8568,-0.1899,tech,APAC,0
3.69,-1.045,0.741,tech,NA,0
4.5483,1.3973,-0.7046,finance,APAC,1
5.271,-1.1413,0.3623,health,APAC,0
3.9462,0.2752,-0.2961,finance,NA,1
0.9238,-0.7633,0.9085,tech,APAC,1
5.269,1.7162,0.4286,tech,APAC,0
4.9782,-1.3351,0.1958,health,EU,0
3.1632,0.3102,0.1655,finance,APAC,1
1.1663,0.3616,0.3402,health,APAC,0
9.3619,-0.1724,-0.616,tech,NA,0
1.8888,-0.3788,-0.6915,health,NA,1
2.6777,0.0149,-0.532,finance,NA,1
1.5771,-1.367,0.6338,tech,NA,0
5.7333,-0.1241,-0.4544,tech,NA,1
3.694,-2.4216,0.9891,tech,NA,0
4.4348,-0.2031,0.4111,tech,NA,0
1.837,-0.497,-0.9045,health,NA,1
2.1649,-0.2085,-0.2944,tech,NA,1
1.3127,1.155,-0.9129,finance,NA,1
3.6847,0.0437,-0.2954,health,APAC,0
1.3363,-0.6868,-0.9124,tech,EU,0
3.9674,-1.1328,0.7316,tech,EU,1
2.1232,-1.1837,0.0386,health,EU,0
3.4835,-0.3163,-0.1478,finance,APAC,0
2.5889,0.2914,-0.2734,health,NA,1
7.2099,-0.4724,0.1345,health,EU,0
2.3823,0.0023,0.4713,finance,NA,1
1.6209,-0.417,0.7057,health,NA,0
0.8344,-0.2743,-0.685,health,EU,1
7.1574,-2.5438,0.6073,health,NA,1
1.9462,0.5578,0.2847,health,NA,1
4.3011,1.0961,-0.7517,tech,APAC,1
3.8293,1.7371,0.25,tech,NA,0
4.4715,1.3085,0.7276,health,EU,1
2.6471,-0.2383,-0.0341,health,EU,1
3.0941,-0.3831,0.4684,finance,EU,0
7.0387,1.8806,0.7283,tech,APAC,1
3.6815,-0.5076,-0.2135,tech,EU,0
1.3719,1.5807,-0.7321,finance,EU,1
3.1825,-1.3126,0.6506,health,NA,0
2.289,-1.7938,-0.9094,finance,APAC,1
3.5549,1.903,-0.4015,health,APAC,1
10.4021,-0.4692,0.7442,health,APAC,0
1.7508,-1.296,0.6823,health,APAC,1
10.2519,-0.7277,0.841,health,APAC,0
3.0718,0.7067,-0.3153,health,APAC,1
2.6402,0.3451,0.4098,finance,EU,0
3.1434,0.8762,-0.3097,tech,EU,1
1.0013,0.8261,0.124,tech,APAC,1
3.1766,-1.0368,0.3624,health,NA,0
1.7379,-0.1172,0.8159,health,APAC,0
3.6667,1.6319,-0.206,health,EU,1
5.5956,1.5817,-0.0122,health,NA,1
1.4932,-1.5195,0.3488,health,EU,1
5.6929,-0.8837,-0.4784,finance,EU,0
4.728,-0.8775,0.3721,health,APAC,0
3.4148,1.1467,0.2115,health,APAC,0
1.3143,-0.6826,-0.2764,tech,APAC,1
4.854,-0.5421,-0.0223,finance,EU,1
2.3097,1.52,-0.994,tech,EU,1
5.8419,-0.283,-0.7291,health,EU,1
1.7766,2.1894,-0.734,tech,APAC,1
0.4041,-0.2029,-0.1517,tech,EU,1
0.8011,-0.6839,0.7781,tech,NA,0
3.0886,-1.2434,0.5521,finance,APAC,0
0.917,0.5119,-0.1729,health,APAC,1
3.1049,-0.1646,-0.3625,tech,NA,1
2.7296,0.5651,0.9356,tech,EU,1
0.4937,0.2932,0.3473,tech,APAC,0
1.7502,0.295,0.9242,finance,APAC,1
1.3655,-1.3589,-0.4769,finance,APAC,0
2.1638,0.1926,-0.4785,health,EU,0
2.3006,-0.3664,0.6432,health,EU,0
4.2087,-0.402,-0.8825,tech,APAC,1
4.8902,0.3797,-0.8791,health,APAC,1
10.0604,1.5914,0.6263,tech,NA,0
3.7101,0.5957,-0.082,health,APAC,1
0.8786,-0.9632,0.2735,tech,EU,1
0.0989,0.0521,0.3846,finance,NA,1
2.0579,0.5665,-0.7116,finance,EU,0
2.249,0.0523,0.977,health,EU,1
2.506,-0.2421,-0.9407,finance,EU,1
4.4361,-0.2023,-0.853,finance,APAC,0
6.8218,0.0907,-0.8254,health,EU,1
2.2123,0.5397,0.5583,health,NA,1
5.8802,1.0964,-0.1578,tech,NA,0
2.5292,-2.506,-0.2402,finance,APAC,0
2.383,1.4842,-0.4171,finance,NA,1
2.4976,1.7944,0.5352,health,APAC,0
5.7123,-0.3151,-0.3943,tech,EU,1
3.2997,-0.1459,0.5814,health,NA,1
4.4043,-0.6566,0.9336,finance,NA,0
2.4002,-0.9852,0.1772,finance,EU,1
4.3852,-0.7496,-0.5863,finance,APAC,1
2.8272,-0.342,-0.6713,tech,APAC,0
3.0081,-1.1677,-0.9416,tech,EU,0
3.731,1.8894,-0.6261,finance,APAC,1
1.9271,-0.5958,0.2347,health,APAC,1
5.1881,0.8856,0.1929,finance,APAC,0
3.6499,0.6068,0.2388,tech,NA,0
2.7712,0.7093,-0.8347,tech,EU,1
1.6346,-1.1827,-0.4642,finance,NA,1
4.7522,0.0143,-0.9355,tech,NA,1
1.482,-0.5551,-0.7215,tech,APAC,1
3.4931,-0.1713,0.971,tech,EU,0
4.4142,-0.4001,0.5229,finance,APAC,1
2.5008,-2.1686,0.8727,finance,NA,1
4.8038,0.4996,-0.2046,tech,EU,1
2.2344,-0.601,-0.8009,finance,NA,1
3.2816,-1.1831,0.8655,health,NA,0
5.4482,0.0841,0.4074,finance,APAC,0
10.0843,-0.1363,-0.8583,health,NA,1
4.4874,2.0062,0.061,health,EU,0
5.5509,0.4698,0.5049,finance,EU,1
7.5157,-0.7885,0.381,health,NA,1
3.019,0.4454,-0.7745,health,NA,0
4.3499,-0.5803,0.9089,tech,NA,1
6.0845,-0.9636,0.4036,health,NA,1
4.5287,-0.8633,0.6691,tech,EU,1
10.5997,-0.975,0.4834,tech,NA,1
1.3926,0.4033,0.5622,tech,NA,1
3.9647,-0.9651,-0.8891,tech,EU,1
5.1085,2.1796,-0.908,tech,NA,0
2.3384,-0.2457,-0.8442,health,NA,0
0.1315,-0.2494,-0.3454,tech,EU,1
2.4834,0.1683,0.8009,tech,EU,0
1.6374,0.0829,0.4762,tech,NA,0
3.9543,0.2904,-0.1739,finance,NA,0
2.7623,-1.2319,-0.4166,finance,APAC,1
3.0244,0.5598,-0.1009,tech,NA,0
5.1258,-0.4332,-0.57,tech,NA,1
8.4496,1.7864,0.1119,tech,NA,1
3.502,-0.5272,-0.8319,tech,NA,0
5.1956,0.4676,-0.8987,finance,EU,1
3.7808,-1.5153,0.2282,health,EU,1
6.7865,0.2748,0.9882,tech,APAC,0
1.6313,0.587,-0.562,finance,EU,0
0.0535,-0.095,0.8345,tech,EU,0
3.8097,-0.2121,-0.9436,health,APAC,1
0.4806,1.8125,0.2033,finance,APAC,0
0.8349,1.488,0.8344,health,NA,1
6.4394,1.0957,0.5837,health,APAC,0
0.6267,0.4651,0.377,health,APAC,0
