age,income_k,credit_utilization,employment_status,defaulted
8.5263,2.2858,0.2966,full_time,0
2.8387,5.7879,-0.5358,unemployed,0
1.1831,3.1336,0.6662,unemployed,1
3.699,5.6425,-0.6534,part_time,0
2.3963,14.1334,-0.2859,unemployed,1
2.649,5.7023,-0.2895,unemployed,0
2.0674,0.8475,-0.0857,full_time,1
1.2951,2.5081,-0.7639,part_time,0
2.9979,5.4899,-0.7245,part_time,0
10.4062,6.0274,0.4304,unemployed,0
2.2929,2.2085,-0.0825,unemployed,1
13.0746,5.0514,0.9639,full_time,1
3.9429,0.0853,0.7516,part_time,1
3.5619,9.8715,0.0556,unemployed,0
1.1806,3.7592,0.2975,part_time,1
2.5434,2.5355,0.0233,part_time,1
7.6137,3.3551,0.9739,full_time,1
5.5345,1.7235,-0.9896,full_time,1
1.3631,2.2939,-0.4309,unemployed,1
2.5564,4.6163,-0.0914,part_time,1
5.7914,3.6065,0.1765,part_time,1
0.9107,0.7319,-0.6743,part_time,1
0.9945,4.5921,0.8881,full_time,1
5.3442,5.7312,-0.3935,full_time,1
6.2697,3.4679,-0.7553,full_time,1
1.3492,2.1448,0.5239,part_time,1
4.4431,1.8853,0.8005,full_time,0
1.4875,1.8101,0.4148,full_time,1
1.3173,1.3884,0.0053,unemployed,1
8.4091,0.9357,0.6138,part_time,0
2.2948,8.7324,-0.8179,unemployed,0
7.5528,5.35,-0.3494,full_time,0
4.1237,0.3322,-0.5208,full_time,0
6.233,3.3297,-0.185,full_time,0
3.5881,2.861,-0.8322,full_time,1
4.7961,0.1759,-0.9164,unemployed,0
15.1747,1.3787,-0.2972,unemployed,1
4.9019,5.5401,0.4501,part_time,0
0.6879,0.9489,-0.454,part_time,1
9.3093,13.2548,0.8029,part_time,1
3.2998,1.1208,0.7851,part_time,0
0.7934,3.9891,-0.9831,full_time,1
10.3838,6.8721,-0.3936,full_time,1
8.0199,10.887,0.2769,part_time,1
2.0207,1.9057,-0.7435,part_time,0
0.8858,7.8649,0.3555,unemployed,1
1.0178,6.0447,0.9902,unemployed,0
7.59,6.287,-0.3675,part_time,1
7.9574,6.9124,-0.671,unemployed,1
9.1363,0.4818,-0.0528,full_time,1
8.1186,6.3423,-0.7503,full_time,0
1.2226,6.2489,-0.1363,full_time,1
6.6179,3.9355,-0.9788,part_time,1
2.2888,3.8073,-0.7946,full_time,0
4.3443,3.5312,-0.6282,full_time,1
1.7431,2.5785,-0.7052,part_time,0
2.1549,3.275,-0.8908,full_time,1
8.6929,2.2579,0.704,part_time,1
5.2149,9.3647,-0.5539,unemployed,0
0.937,3.7878,-0.9865,part_time,1
5.7474,6.7858,-0.6044,part_time,0
4.6252,0.5291,0.3549,full_time,0
3.5601,4.8094,0.2464,unemployed,1
0.6168,3.9103,0.954,full_time,0
2.7617,3.7211,-0.7471,unemployed,0
6.5238,6.8228,0.2901,part_time,1
1.9649,1.5846,0.2762,unemployed,0
3.4834,2.6043,0.871,unemployed,0
3.7536,7.7192,-0.0977,part_time,0
5.3572,2.9243,0.6852,unemployed,0
7.2233,3.4049,-0.5,unemployed,1
4.9712,1.8885,0.5402,part_time,1
2.8936,2.8379,-0.7014,full_time,1
3.9727,1.926,-0.8282,part_time,0
4.7224,3.0613,0.8867,unemployed,0
2.4935,1.7417,-0.9535,full_time,0
3.1404,1.2813,-0.5916,unemployed,1
2.302,5.9044,-0.6447,unemployed,1
5.4085,3.7454,-0.8851,full_time,0
1.8985,2.3363,0.8072,full_time,0
4.497,5.5297,-0.0821,full_time,1
3.8036,2.5497,-0.9218,unemployed,1
1.3928,1.4002,-0.5017,unemployed,0
1.5514,6.9797,-0.6841,unemployed,1
1.3693,1.4278,0.9906,full_time,0
5.3883,13.4633,0.3512,part_time,0
10.9173,2.4079,-0.0305,unemployed,0
3.159,4.0004,-0.6455,unemployed,1
1.3185,5.1127,0.3501,unemployed,0
2.1202,5.2912,0.1964,part_time,0
4.83,1.7485,-0.6157,full_time,0
1.1783,7.5835,-0.3546,unemployed,1
4.3532,5.5642,-0.3675,part_time,0
3.5005,2.0211,-0.0008,unemployed,0
3.8508,1.0596,0.3558,unemployed,1
1.2934,6.2027,0.8242,unemployed,0
1.0872,1.1858,0.4758,unemployed,0
4.5903,3.7566,0.9771,part_time,1
6.9366,2.1742,-0.542,part_time,1
1.012,1.4082,-0.237,part_time,1
1.5149,0.1435,-0.6526,full_time,0
2.9761,6.2832,-0.4293,unemployed,0
1.5635,3.4542,0.2188,full_time,0
9.7707,0.7153,-0.6944,part_time,1
3.675,2.8691,0.8323,unemployed,0
3.5649,2.5103,0.975,full_time,0
3.7764,0.6071,-0.3028,unemployed,1
1.0114,9.5679,0.2619,unemployed,1
1.1183,3.8886,-0.6771,full_time,0
2.9126,4.6474,0.6595,part_time,1
1.3092,0.7262,-0.7815,part_time,1
3.7057,13.6594,-0.8063,part_time,1
4.1576,3.9406,0.897,full_time,0
3.9506,1.9948,0.2488,full_time,0
9.6535,4.3446,-0.981,full_time,0
9.458,3.2657,-0.4683,part_time,1
2.9055,4.8942,0.2216,part_time,1
2.1008,7.4799,0.0613,full_time,0
2.3225,3.3711,0.6252,part_time,1
1.391,2.0535,-0.3033,part_time,0
0.8169,7.1563,0.1438,unemployed,0
5.2486,1.5494,0.9101,unemployed,1
1.3985,2.3341,0.8579,part_time,0
1.6997,5.2465,-0.8191,full_time,1
1.8995,1.2772,0.2842,part_time,1
9.1818,0.7303,-0.7678,part_time,0
18.3447,0.3725,-0.27,full_time,1
4.865,5.4166,0.6744,part_time,1
0.9103,9.0207,0.3772,unemployed,1
5.5332,6.0877,0.4335,full_time,1
3.7296,1.9054,0.697,unemployed,1
3.6049,5.9054,0.8461,unemployed,0
1.6575,1.0116,-0.6726,unemployed,0
3.5589,2.8887,-0.7961,full_time,0
4.3379,3.5616,-0.7653,part_time,0
2.7464,4.2794,0.9091,part_time,0
5.6233,2.3254,-0.1098,full_time,0
2.1522,2.2288,0.4907,full_time,0
3.1244,2.9208,0.075,unemployed,0
1.6617,2.3853,0.5801,full_time,0
4.4469,1.6236,-0.7424,full_time,0
5.5066,2.4861,0.9542,full_time,0
1.7997,2.7193,0.0453,part_time,1
1.5713,10.5167,-0.5696,unemployed,1
5.0524,4.659,-0.1999,part_time,0
7.068,3.5373,0.4289,unemployed,1
5.4847,8.9774,-0.845,full_time,1
7.06,4.3457,-0.4527,full_time,1
3.6321,2.7584,0.0579,part_time,1
3.7535,4.0129,0.936,unemployed,1
3.7488,1.5144,0.1351,unemployed,1
1.2799,3.2094,-0.0627,part_time,0
3.1086,7.2556,0.6905,full_time,1
9.3173,2.5957,0.9243,unemployed,1
2.1514,5.4245,-0.6196,full_time,0
3.3956,0.4895,0.0562,unemployed,1
0.6839,5.4926,-0.2934,part_time,0
4.5364,1.7677,-0.4016,full_time,0
2.0249,1.4086,0.8708,part_time,1
3.9705,2.7515,-0.9823,full_time,0
7.9229,4.5618,-0.2093,part_time,0
2.6439,5.5789,-0.9884,unemployed,1
8.285,3.8698,-0.0414,part_time,1
2.1703,1.0685,0.452,part_time,0
4.6056,9.3465,0.6597,unemployed,0
3.9228,6.5519,-0.5011,part_time,1
3.6302,1.1316,-0.6376,unemployed,1
6.059,7.1441,-0.6007,part_time,0
3.8406,2.8185,-0.3914,part_time,1
3.0186,15.8927,-0.4294,unemployed,0
2.1296,13.2548,0.7239,unemployed,1
2.065,3.6497,-0.7873,unemployed,0
1.0321,0.8549,0.0932,unemployed,0
5.0022,2.424,0.5187,unemployed,0
2.2682,7.1248,0.0077,unemployed,1
2.5685,3.3753,-0.0099,unemployed,1
2.4869,4.436,-0.68,unemployed,0
2.7068,3.0224,-0.463,full_time,1
10.3029,2.7665,0.2848,full_time,1
3.1187,5.6697,0.4442,unemployed,0
10.0673,3.1763,-0.9687,unemployed,0
2.7746,2.1029,-0.5587,unemployed,1
3.47,5.4864,-0.0081,full_time,1
1.4999,7.0839,0.2156,full_time,0
2.6967,4.5455,-0.8005,full_time,0
7.1376,8.8585,-0.973,full_time,0
5.2497,0.7774,-0.3852,full_time,0
5.122,6.9795,0.673,full_time,1
