ph,hardness,residual_chlorine,source,is_safe
-0.2722,10.8848,0.4349,lake,1
0.0755,4.5379,8.3227,lake,1
-0.1553,3.239,2.587,well,0
-0.5225,1.9661,3.6437,river,0
-0.6907,1.4848,1.512,well,0
-0.2124,4.5302,5.5879,river,0
-0.8352,6.7372,6.6015,well,1
0.5923,1.6417,1.9286,well,1
-0.993,3.4337,2.6284,well,0
-0.2631,0.0667,1.547,lake,0
-0.2481,1.4818,7.7838,lake,0
-0.1229,2.5482,3.0376,lake,1
-0.3531,0.7206,7.2196,lake,0
0.1971,5.9716,7.5906,lake,0
-0.2405,1.3395,4.4506,well,1
0.7562,5.3431,2.8926,lake,0
0.8429,5.4094,1.4607,lake,0
0.1794,3.5164,12.6547,lake,1
-0.024,0.3772,2.8621,lake,0
-0.8594,4.064,2.4023,well,1
-0.4239,4.0869,12.6821,well,1
-0.9191,4.1951,2.2368,well,0
-0.6344,0.979,7.2387,lake,0
-0.5704,1.675,2.8884,river,0
0.0327,2.8619,1.0051,well,1
0.7727,5.2506,7.3564,lake,0
0.3742,4.3506,5.1229,well,0
-0.688,4.1911,5.9554,well,0
0.4931,3.144,2.7986,lake,0
-0.9402,0.5063,5.1406,river,0
-0.7898,0.9426,3.6219,river,0
0.1618,5.582,1.0738,well,1
-0.1916,3.2516,6.0178,lake,0
-0.0649,2.1936,1.1481,lake,0
-0.7071,1.0761,2.8568,river,1
0.2262,4.8393,3.7896,lake,0
0.8311,2.5436,6.4898,well,0
0.9306,0.5743,4.2625,lake,0
-0.0338,7.2283,2.3707,well,1
-0.1378,1.0844,1.0154,lake,0
0.14,9.9277,3.6203,river,0
0.3528,2.6217,1.9753,lake,1
-0.08,6.4759,2.1898,river,1
0.1903,2.9766,0.5148,well,1
-0.024,5.7912,14.7684,lake,0
-0.2878,3.5552,6.9454,river,1
-0.0371,4.9369,0.5788,well,1
0.6394,2.6908,6.8596,river,0
-0.0523,3.7467,4.0582,river,1
-0.4014,1.4448,0.7688,river,0
-0.8428,1.1969,5.9362,well,0
-0.0902,6.6593,2.4237,lake,1
-0.6209,7.7123,11.4813,well,1
-0.7933,8.0248,2.3338,lake,0
0.2995,5.9932,4.5036,river,0
0.8705,2.1556,5.5399,lake,0
0.4588,2.5835,9.8787,lake,0
-0.7407,6.379,7.6001,well,1
0.8045,0.8051,3.2365,river,1
0.5164,11.5504,3.8596,well,0
-0.3366,0.0103,2.9808,well,0
-0.7489,2.6089,1.21,river,1
0.6974,10.2969,3.5444,lake,1
-0.5399,3.2993,10.5892,well,0
-0.7192,5.7529,4.3102,well,0
-0.5704,4.1836,3.3522,river,0
0.5363,0.8209,2.9536,river,0
-0.4404,3.9619,3.3272,well,0
-0.3578,1.0353,4.7591,well,0
-0.0054,4.6408,6.0704,well,1
0.9006,5.2342,1.4312,lake,1
-0.6555,11.8716,0.8377,well,0
-0.9368,4.5985,2.1266,lake,1
0.2971,9.1153,7.5557,lake,0
0.6431,3.4145,4.4023,river,0
0.6918,1.4637,2.7411,lake,1
-0.6645,4.2444,7.0711,well,1
0.4766,3.0449,1.3996,river,0
0.5071,1.816,3.5335,lake,0
-0.1046,0.8827,0.39,river,1
0.0638,4.5598,0.8514,well,1
-0.8358,7.2569,4.0734,lake,0
0.5031,5.9108,1.7421,well,1
-0.7572,5.0232,4.2887,lake,0
0.6693,2.5657,1.6433,lake,1
0.4866,3.7553,5.4348,well,0
-0.4896,0.79,3.2749,well,1
0.2794,2.105,3.5265,lake,0
-0.4629,5.1871,9.5866,lake,0
-0.2253,4.5328,2.5124,well,1
0.246,2.4037,0.8309,river,1
0.139,1.8968,8.1972,river,1
0.4241,6.3255,0.4853,river,1
0.7907,1.7137,4.3608,river,1
-0.1387,3.7541,3.2486,well,0
-0.7552,2.5556,2.0609,lake,1
0.2362,1.4274,1.0286,well,1
0.4631,1.3742,0.9481,well,1
-0.7351,3.4395,3.8336,river,0
0.0997,7.949,6.1205,lake,0
-0.3468,2.6252,6.3928,well,1
0.238,0.6646,8.207,river,1
0.4991,4.5636,2.4992,well,0
0.8309,5.1105,1.1257,well,0
0.4733,6.0519,4.8548,river,0
-0.971,0.4983,1.0603,well,1
0.2039,0.1002,4.4939,well,1
-0.5209,1.6708,1.9488,river,0
0.6612,1.1594,3.9365,well,0
0.3464,4.5026,5.6805,river,1
-0.9766,3.4765,0.674,river,1
0.2409,1.2767,0.8017,well,0
0.5891,1.6241,1.6346,well,1
0.7638,2.812,1.7563,lake,1
0.893,3.1675,5.2522,lake,0
-0.3369,6.8566,4.8713,river,0
0.8255,7.1959,1.5706,river,0
-0.3795,1.0923,4.5125,well,1
0.834,2.8754,6.6314,lake,1
0.842,6.3885,1.9655,lake,0
-0.3972,1.8805,4.9625,lake,1
0.0542,3.1812,8.2322,lake,0
-0.35,0.4668,1.3616,lake,0
-0.4514,8.2597,1.4822,river,0
0.8287,8.5295,8.9401,well,0
-0.7462,4.1784,5.3518,lake,1
-0.65,7.1065,10.0093,well,0
0.7174,5.8393,0.9049,river,0
0.7494,3.5848,4.5969,lake,1
0.4266,4.9422,1.4633,well,1
0.3019,3.9083,10.8636,river,1
0.4039,9.2877,2.9153,lake,1
0.9021,7.3759,8.1037,lake,1
-0.6083,3.494,4.441,lake,1
-0.318,0.5419,3.2304,lake,0
0.3484,2.3222,6.4829,lake,1
-0.6223,4.7446,7.1466,river,1
0.0129,9.6082,5.9177,river,0
0.4503,0.8233,3.208,lake,1
-0.2812,3.8122,3.3508,lake,0
0.65,0.5904,0.2177,river,0
-0.6054,3.426,3.0318,well,0
-0.9744,3.0287,1.3551,river,1
0.2565,6.9013,6.7419,river,1
-0.4061,3.1472,4.0244,river,0
0.2242,3.8237,10.7243,river,0
0.4816,0.885,3.9376,river,0
-0.7768,2.492,3.3957,river,0
-0.5875,9.8845,10.7758,well,1
-0.8184,3.8305,2.3619,river,0
-0.4953,3.1025,4.596,well,0
0.785,1.5489,2.5338,lake,0
0.3059,3.5607,10.0684,river,1
-0.2383,3.7014,3.072,well,1
