purchase_frequency,avg_order_value,loyalty_score,customer_segment,lifetime_value_k
1.0936,3.5268,-0.6749,budget,-3.4347
2.8753,3.3677,0.9284,budget,4.4471
2.444,3.6402,0.6043,budget,6.5592
6.2685,2.0097,0.304,premium,25.8564
3.5867,3.0092,-0.9207,mid,-12.3903
4.768,0.9463,0.0533,premium,-7.5475
0.9713,6.9201,0.5369,budget,9.2452
5.6835,0.5236,-0.7728,premium,-18.5258
2.9881,7.2493,-0.2152,premium,0.0599
4.3835,1.3662,0.2961,mid,0.4615
0.2914,4.3872,-0.7665,premium,-6.8118
1.063,1.8747,0.2671,mid,0.8257
2.3723,1.5913,-0.1031,mid,-1.068
0.9026,5.5135,0.9507,budget,-3.1041
2.8621,2.7187,-0.1174,mid,-2.2026
5.182,6.6407,0.9958,budget,2.8907
0.3311,2.6648,0.3352,premium,3.0123
1.522,1.5725,-0.7115,budget,1.3722
0.9609,7.0312,0.7843,budget,-5.5381
2.3376,1.203,-0.1456,premium,-7.7235
5.0445,2.6325,-0.1704,premium,-19.3935
7.0013,0.0986,-0.6916,premium,-14.602
0.134,4.235,-0.9886,budget,-6.3646
8.114,4.4722,-0.897,premium,-28.0166
2.3603,3.5518,0.1208,premium,-2.5092
1.1968,4.7276,0.9849,budget,7.7718
3.6275,5.3553,-0.0937,mid,16.1262
3.5353,4.0591,0.2203,premium,-11.3283
7.4209,2.6327,-0.8907,mid,7.7945
0.3827,1.4158,-0.3989,budget,-3.5373
1.2045,1.6687,0.371,premium,-2.1859
6.6239,0.8684,0.0156,mid,-4.9752
6.343,1.4401,0.0749,mid,-4.3838
9.6234,3.1692,0.7447,mid,15.2586
2.5993,6.0173,0.611,budget,-14.7611
4.7902,1.9007,0.494,premium,-5.6186
4.7131,5.5512,-0.8137,premium,5.1287
3.3926,4.2315,-0.9581,mid,5.854
2.3433,7.0711,0.3493,premium,4.2763
3.4204,0.7163,0.205,budget,-1.128
2.4903,5.7304,-0.403,mid,-15.9331
3.0437,3.2582,-0.8009,premium,1.0997
2.808,6.6657,-0.3001,mid,5.0519
3.9692,2.8436,0.7082,premium,-6.9581
0.3682,2.4308,0.2973,premium,-0.4762
2.0701,3.5625,0.9901,mid,0.8844
3.7524,0.2741,0.3729,budget,2.8623
8.6883,7.3832,-0.2813,budget,11.764
2.2463,0.6182,0.7267,mid,-5.971
8.8239,1.6023,-0.8834,premium,0.0867
8.192,4.3894,0.6583,budget,-16.8808
1.9298,1.082,0.8663,mid,-1.0369
0.9437,3.2478,-0.1375,premium,3.9577
0.7639,1.1036,0.4286,budget,-6.2605
3.8252,4.9328,-0.0218,mid,8.8553
5.6718,2.0462,-0.0382,budget,2.7807
3.2844,6.4079,-0.2618,mid,-5.2339
7.52,1.3461,0.7944,premium,8.6853
3.1649,2.4505,-0.7432,premium,6.858
7.181,1.6963,-0.9623,mid,3.2705
5.1643,3.6421,-0.6148,premium,3.6142
2.4199,4.4648,-0.2663,premium,-4.5652
6.4401,0.6211,-0.8685,mid,15.1058
12.6453,3.9471,0.6524,budget,-1.5751
1.514,2.3868,0.5492,premium,-1.7605
11.9415,9.4728,-0.2316,budget,20.0389
5.2789,9.5669,-0.3916,budget,-10.9832
5.1858,2.9703,0.0032,premium,-8.0364
2.3609,3.2547,0.5972,mid,1.7474
0.9518,4.8648,0.0574,budget,10.064
1.5101,2.9336,-0.4921,budget,13.1153
5.0288,3.0323,0.2159,budget,9.6927
0.7564,2.974,0.6706,budget,-1.9269
3.0739,1.6361,-0.7616,budget,1.7043
8.4741,1.5861,0.2533,mid,-2.79
15.4836,8.6209,0.2764,mid,41.5398
14.3862,3.2733,-0.6767,premium,30.0336
4.3226,5.4184,-0.159,mid,7.7065
1.8723,4.8344,0.4887,mid,5.5664
7.6621,4.5976,0.4843,premium,19.9134
0.764,5.36,-0.3049,mid,8.1005
6.5244,2.7421,0.4593,premium,-6.4255
1.069,2.2881,-0.2463,mid,6.0722
2.6627,1.2095,-0.0352,premium,2.0066
7.1724,3.9257,-0.53,premium,2.4579
5.5612,2.7771,-0.1024,premium,-3.3261
11.953,7.0644,0.7557,budget,3.1286
1.2209,1.8039,0.9663,premium,10.3496
2.7657,2.3987,0.0452,premium,-4.4452
6.0915,2.3868,0.3245,premium,-4.0298
5.4641,11.9084,0.7794,mid,-1.139
2.9736,3.3725,-0.5959,premium,-1.8225
5.6608,2.6043,-0.468,mid,2.7017
3.0322,2.2946,-0.8763,premium,0.3065
10.3329,2.1427,-0.9099,premium,14.5565
11.1168,1.0957,-0.3736,mid,-19.7008
3.9335,2.1518,-0.4423,mid,8.671
6.1875,2.0515,0.5876,premium,-8.6557
4.0275,4.6892,-0.2008,mid,-2.9401
2.5095,6.6244,-0.538,budget,0.7031
1.2778,2.3852,-0.5841,mid,6.0285
2.7153,3.0583,-0.951,mid,0.199
2.9297,5.0765,0.4222,mid,-3.8438
5.0836,2.0414,-0.1415,mid,-3.4767
1.2398,2.2602,-0.9656,premium,-3.0672
1.7534,2.9241,-0.3643,budget,-3.7876
4.8775,3.7438,0.1478,premium,3.0394
1.9461,4.9202,0.8473,budget,-1.5049
6.4283,2.3271,0.6195,budget,-19.1794
2.9877,4.8181,-0.8354,mid,-6.5464
5.5227,2.4518,-0.4547,premium,-9.8915
3.0141,5.2861,0.0765,premium,3.5028
5.0857,5.5118,-0.1373,premium,-18.1815
2.5412,3.6946,0.916,mid,2.2567
4.4129,6.6814,-0.7273,mid,-11.8576
3.5489,2.3525,-0.4538,mid,-0.9013
4.1682,4.1492,-0.4638,premium,4.8323
4.3637,0.7349,0.2073,mid,-2.1536
1.3963,5.1503,-0.9989,budget,1.9071
1.6256,1.4912,-0.4365,budget,-0.4191
1.0322,10.8691,0.4563,premium,5.5066
2.8708,1.5962,-0.928,mid,-5.3455
3.0336,1.6826,-0.836,budget,-5.1996
1.4235,13.2248,-0.6644,premium,5.4211
1.5864,2.6239,0.2247,premium,-1.8849
10.2155,16.8591,-0.0528,budget,-3.9692
6.5019,4.6814,0.0202,premium,-15.1708
8.2303,8.3032,0.0205,budget,23.214
2.3106,4.7203,-0.2534,budget,0.0324
3.443,2.9263,-0.9572,mid,-1.7862
3.3689,5.1445,-0.1168,mid,-0.1425
0.9644,0.7829,0.7947,premium,1.2439
2.872,6.7741,-0.8234,premium,0.4854
5.0453,1.1476,0.8669,mid,1.6
3.2313,1.248,0.6361,premium,3.3428
10.1641,4.0586,0.6882,premium,-10.5054
5.0177,2.9315,-0.7648,mid,-4.5485
7.4124,7.7355,-0.9988,premium,7.8757
3.0057,5.1999,-0.3053,premium,-7.2022
1.8378,2.4759,0.7174,mid,-1.0637
2.9957,0.4421,0.2049,premium,1.5934
3.8886,5.4238,-0.3483,budget,-0.7396
0.2794,1.5901,0.5985,premium,-2.3873
2.5768,2.5298,-0.7693,budget,-2.2328
10.0641,5.8791,0.0806,premium,24.7862
3.3165,6.9474,-0.1308,mid,11.296
0.2608,3.8432,0.0279,mid,0.9895
0.2847,4.2725,-0.0713,budget,-10.3731
3.2516,2.8968,0.0885,premium,2.8124
2.1469,6.7289,0.995,mid,-15.6338
0.772,0.3968,-0.3096,mid,-1.114
4.5189,1.1614,-0.2943,budget,-3.0357
5.4749,7.8503,0.9137,premium,28.56
1.023,6.5265,0.6502,premium,-1.621
6.2554,3.7023,-0.6965,mid,12.824
0.8863,10.4516,-0.3057,budget,15.1202
2.1097,9.3054,-0.157,budget,16.5988
2.2807,1.3073,-0.6396,budget,-5.7602
2.4418,3.5329,-0.1308,premium,11.5459
0.4165,0.0849,-0.5723,budget,-2.1569
2.4243,2.584,-0.0579,mid,-2.4823
3.4829,6.9291,-0.5602,budget,0.4508
4.8366,2.572,-0.5264,premium,-3.8151
1.3431,1.6236,-0.232,budget,-3.3861
5.2391,6.6364,0.0238,budget,-17.6012
3.6201,5.2584,0.6104,budget,-1.4956
3.2084,6.2099,0.8031,premium,-6.5744
0.8314,2.5135,-0.178,budget,-1.5335
4.3804,4.9416,-0.1113,premium,13.1126
10.1754,6.3799,-0.8169,mid,0.8758
0.9323,0.594,-0.0967,budget,0.9611
2.61,0.4065,0.1568,mid,5.3058
6.1955,4.8125,0.5189,budget,2.4096
4.4209,7.9421,0.2966,premium,-2.2129
1.1043,3.5608,-0.0556,budget,-5.5981
0.5801,11.7714,-0.385,premium,-3.8379
2.191,3.5574,-0.3763,premium,2.8563
2.2596,3.2812,-0.4817,premium,0.706
11.9073,2.3035,-0.7589,budget,4.0757
1.3608,1.2819,-0.3925,premium,-2.676
2.3995,6.9484,-0.7191,budget,-9.2752
8.6803,2.8229,-0.1936,mid,-4.84
3.2809,1.0589,-0.3299,budget,-2.0838
10.8811,1.7064,0.2404,premium,-11.4237
4.9158,7.4297,0.8955,premium,13.3919
1.298,1.2786,0.6811,premium,-5.7461
3.2825,15.6421,-0.3086,mid,-2.4672
1.8962,5.4139,-0.2146,mid,3.0179
5.5539,4.654,0.9727,mid,14.6983
9.1408,4.3156,-0.4322,budget,-5.8886
1.7172,2.5099,-0.8422,mid,-2.8291
1.9843,4.9064,-0.6969,premium,6.2794
3.1823,2.0447,0.3594,budget,4.1907
2.2964,0.9568,0.9769,budget,-6.5876
3.7994,10.1097,-0.8185,budget,-7.3563
3.9915,2.9735,-0.1476,mid,1.2224
6.1149,3.6488,0.905,mid,-9.2878
5.2419,0.5503,0.8126,premium,-8.6024
16.1629,4.5122,0.0457,mid,15.0567
1.8673,1.1694,0.6527,premium,6.0619
2.6404,2.609,0.7785,premium,0.6777
10.3743,4.5502,0.893,budget,-6.7899
4.0887,7.3296,0.6382,budget,-0.6621
10.852,1.0231,0.4684,budget,1.2212
6.7099,0.8908,0.6485,mid,1.844
1.9172,11.4573,0.5676,premium,15.9829
