irradiance,ambient_temp_c,panel_age_years,sky_condition,power_output_kw
3.6438,-0.8374,4.1775,cloudy,-0.4821
1.5223,0.3947,3.7126,clear,-0.6758
2.5678,0.5896,2.6149,clear,4.9081
5.5375,-0.9752,2.2213,mixed,-3.6904
2.8396,0.1071,3.763,clear,-3.6415
3.9772,0.5107,1.762,cloudy,-2.9594
3.1884,0.197,8.7622,clear,8.3118
5.936,-0.0187,15.5526,mixed,27.9157
4.5921,-0.8012,2.9937,mixed,18.0513
3.8839,0.4026,1.4288,cloudy,7.2325
5.2524,-0.2426,3.8267,mixed,25.4021
7.5235,0.3613,4.907,clear,18.6592
2.7239,-0.4567,3.773,cloudy,2.0043
1.3116,-0.4407,4.4089,cloudy,-3.9849
4.0168,0.1495,5.2765,mixed,-5.9299
2.5689,0.3484,4.6579,clear,-6.9938
8.979,1.1672,1.3326,clear,-9.8925
5.5208,1.0848,2.4523,cloudy,2.098
4.3924,0.5177,3.1407,mixed,1.0633
2.8066,1.192,2.176,mixed,-0.761
2.0398,0.9074,1.867,clear,4.6676
1.7942,-0.078,7.6244,mixed,-4.0446
8.0229,0.0562,0.2097,clear,11.2398
1.5873,-1.8011,3.6869,mixed,-4.015
4.6074,-0.0515,1.7713,mixed,2.4867
5.8943,-2.1878,1.1844,clear,-2.5227
4.9885,0.3806,6.0852,mixed,-2.6633
2.442,-1.0278,0.8309,mixed,-3.1085
4.9654,-0.1195,2.2791,mixed,7.8925
3.7225,-0.7124,1.6848,mixed,-6.4253
5.5203,-0.6123,0.6872,cloudy,1.4459
0.5155,0.0015,2.8492,clear,-2.8603
1.6707,-1.3553,1.5383,mixed,-0.2556
1.6048,0.0853,2.2906,clear,-3.6411
0.7257,1.4925,8.4219,cloudy,4.3481
5.3018,-1.5234,2.0961,mixed,3.431
4.8008,0.6065,4.4556,cloudy,1.4896
4.8669,-2.3333,0.7642,clear,-6.199
4.6492,0.4057,4.4295,clear,2.3637
2.3711,0.089,1.6359,cloudy,-1.2857
5.722,-0.9794,3.1906,clear,-1.2049
7.0871,0.0732,1.8791,cloudy,-11.0576
4.917,0.7867,1.1669,clear,-11.6437
2.4875,-0.3463,6.6768,clear,-7.7321
4.0396,-1.7274,1.4875,mixed,-9.5284
3.5022,1.7467,2.1958,mixed,-3.6623
1.6708,-1.8699,3.5353,cloudy,-7.0025
3.19,-0.013,4.5213,clear,-1.1416
0.1119,0.3959,1.0421,cloudy,1.1352
1.5657,-0.7105,1.9621,cloudy,-2.1123
5.3868,0.7393,3.6727,clear,4.0574
6.241,-0.9182,0.5019,mixed,-10.3396
5.1791,-0.8318,5.3126,cloudy,-25.3335
6.5261,0.8006,4.4434,cloudy,-1.5403
5.665,-0.3097,1.9877,clear,-0.5438
1.5215,-2.0999,9.0512,clear,-1.241
5.6393,1.7246,7.7363,clear,16.8803
7.3574,1.0828,3.8087,cloudy,-9.1187
7.3694,0.8338,8.3179,clear,-19.3058
2.0924,0.858,3.1774,mixed,2.803
4.3996,0.6372,12.8567,clear,-11.2513
2.7068,-1.2887,5.721,mixed,-0.0468
0.9981,-0.0821,0.5908,clear,-1.5259
6.8029,1.0804,1.0574,mixed,13.5054
3.2806,2.0209,4.4985,clear,-3.8054
0.7178,0.4975,1.6425,mixed,2.1376
0.1951,-1.559,2.2271,clear,1.9373
2.7985,1.2384,1.1485,clear,-4.9037
0.8471,-0.1906,1.7026,clear,1.9163
5.935,2.7865,2.0127,clear,4.8105
0.804,-2.6576,1.0552,cloudy,-0.5843
2.4408,0.0276,7.9826,clear,25.7849
4.3445,-0.0182,1.7766,mixed,0.259
2.6347,0.5088,1.8993,cloudy,2.6271
0.4627,0.0052,5.0312,clear,10.7681
5.7697,-0.4102,1.5468,clear,1.587
10.8659,-1.4443,2.385,cloudy,-8.6319
3.4452,-2.059,9.1466,mixed,-8.9169
6.97,-0.0974,1.9573,cloudy,-2.8464
6.2404,-0.2782,2.4327,cloudy,-9.7458
5.2327,-0.5375,0.8794,mixed,10.3181
1.0423,-2.5627,7.4914,clear,-10.5175
9.7133,0.1349,1.1517,clear,8.8787
3.9208,-1.0668,3.3981,cloudy,3.1664
5.8271,1.2778,2.7932,mixed,-10.6816
1.1092,-0.0982,4.7994,clear,10.0689
0.6805,-1.9669,1.888,cloudy,-2.2078
2.5484,2.0092,2.5848,mixed,7.7127
2.4407,-0.8003,8.6553,clear,16.5908
0.0668,-0.2088,6.4909,cloudy,17.5616
3.081,0.0076,3.2016,cloudy,-1.4766
0.933,-0.8264,2.4594,clear,-0.515
3.2395,-0.518,6.7939,cloudy,0.5843
8.2905,0.636,3.9126,mixed,5.0524
9.8555,-1.8673,2.1043,clear,3.4642
1.934,-0.7436,1.9889,clear,-2.5016
11.0767,0.0375,6.0281,mixed,12.6907
0.8002,1.9232,0.7151,mixed,1.1114
1.2406,-0.9841,7.392,clear,0.0838
5.0851,-0.5006,2.0014,clear,2.3018
11.6806,-1.5676,3.9581,mixed,9.0065
1.7593,0.5765,5.6487,clear,12.8635
2.6757,-0.534,1.661,clear,-3.0437
4.2753,-0.5144,4.0083,cloudy,1.0332
2.8275,0.0221,2.1965,clear,-0.4579
4.22,-2.2723,9.3828,mixed,12.1128
5.6347,-2.0304,5.2018,clear,1.9881
1.6254,-0.2599,5.8275,cloudy,-9.942
0.74,0.0805,3.1914,clear,-2.301
2.8283,1.6411,1.4678,clear,-0.9819
0.7692,0.9759,1.8442,mixed,-5.915
4.8468,0.3406,4.6819,clear,2.2541
0.6258,-1.2759,3.6888,clear,-6.7648
4.5796,-0.71,6.4044,cloudy,-6.3634
4.9986,-0.5893,4.9751,mixed,-2.6175
2.5744,-1.1876,1.6088,clear,-9.2566
4.6266,0.1621,0.706,cloudy,-7.7006
1.9083,1.1551,1.1833,mixed,5.6535
7.9003,1.6999,0.8661,clear,-1.7795
2.3212,-0.0602,4.1445,cloudy,-1.2447
2.2215,1.1329,3.1394,cloudy,0.1502
2.1756,1.6536,3.9475,clear,-12.8579
2.4256,1.0842,3.944,cloudy,3.5393
4.8788,0.576,1.5041,clear,12.2924
9.0092,0.193,6.5213,clear,18.1453
0.7136,1.9933,0.7379,clear,-0.2473
3.751,0.2283,4.0918,cloudy,1.5931
1.3186,1.2274,5.8131,mixed,0.3212
5.1297,-0.132,5.1058,cloudy,-6.9243
0.9205,-0.1198,1.2613,clear,-0.4801
3.7194,1.0221,2.5736,clear,2.4168
2.0458,-0.5597,1.4847,clear,-8.7949
0.6198,1.6586,7.8439,clear,-6.9432
13.6237,0.9253,2.5669,clear,-0.7328
2.9756,1.6022,0.8387,clear,2.8406
2.7114,-0.3438,7.6667,mixed,-0.8127
0.8435,1.5952,1.0685,mixed,-1.9363
3.962,-2.2024,8.0107,clear,-29.3571
1.344,0.1373,7.0088,cloudy,-14.1031
1.8191,1.1725,3.7583,clear,11.4653
2.1354,0.5765,3.8875,cloudy,-0.4251
5.0149,2.5216,5.1157,cloudy,-7.3091
1.8072,-1.9395,2.5639,clear,0.2341
1.3298,-0.8178,3.5761,mixed,-2.1728
3.0318,0.0239,1.7158,mixed,3.3571
3.6985,-2.3728,2.5299,clear,-0.6545
3.9294,0.4799,3.198,mixed,1.3737
1.1963,0.3126,4.6894,clear,7.2722
0.5937,0.7445,4.5219,clear,3.2535
3.2715,-1.414,1.4798,cloudy,-6.4354
18.3981,0.2253,2.7735,cloudy,37.0489
8.1095,0.4221,4.1697,cloudy,2.3059
3.3283,1.3057,2.3808,cloudy,1.6143
6.1751,-0.4081,1.411,mixed,8.381
3.3384,0.3317,0.2762,clear,-3.6246
7.2708,0.6153,2.3164,mixed,-4.3404
1.5174,1.1482,3.4411,cloudy,-12.2217
0.6799,0.447,12.7411,mixed,11.6813
