requested_amount,annual_income,credit_score,loan_purpose,approved
1.4134,4.2293,-0.1213,business,0
1.5959,1.2617,1.9976,home,0
6.9752,2.3741,0.4901,auto,0
1.3618,3.0191,-1.8173,education,0
0.8677,2.1801,-1.009,home,0
3.6678,9.4473,-0.4959,home,1
6.413,3.8154,0.8708,home,0
2.3575,2.0312,1.1473,home,0
8.7768,3.276,0.0465,home,0
0.4264,3.5014,-0.9387,education,0
0.755,3.9421,-0.7685,education,1
1.2282,0.5182,0.1534,auto,1
0.9425,17.9005,-0.3902,business,1
1.7963,4.1218,-0.3637,business,1
11.0577,2.7568,-0.1229,education,0
1.9301,5.1148,-0.4535,home,0
5.6229,4.5424,-1.0073,business,1
12.7764,3.2966,-2.3591,home,1
5.5899,9.4366,0.8912,home,0
4.3385,4.3924,-0.0348,auto,1
3.0776,0.3896,-0.4406,business,1
6.2398,2.7526,-0.3601,auto,1
4.1124,5.0834,-0.0973,business,0
3.7302,5.4876,-0.2977,business,0
11.0459,1.682,1.4099,education,0
2.0509,3.3594,0.1555,education,0
4.026,1.1799,0.0523,auto,0
3.1931,2.552,0.8246,business,1
0.744,5.1736,-0.5404,business,1
2.6194,6.445,-0.1362,auto,0
4.8546,3.7193,-0.6066,home,1
9.5274,3.7242,-0.1121,auto,1
7.0485,2.2777,1.9491,education,0
2.9643,1.8005,0.7702,education,0
7.8089,2.0743,1.5879,auto,1
7.0823,7.1604,0.327,home,0
4.5068,3.7381,1.338,home,0
0.196,4.1782,-1.3587,home,1
7.6268,4.2124,-0.7334,auto,0
10.7576,4.6166,0.0157,auto,1
6.7623,1.8677,0.5348,home,0
4.341,1.1541,-0.4071,auto,1
4.0964,6.4804,-0.2212,business,0
5.0203,2.5347,-1.2421,home,1
0.2542,3.0586,0.5233,business,0
3.3965,10.9445,1.1399,auto,0
0.562,3.6315,-0.7708,education,0
2.0946,6.239,0.5723,home,0
6.0529,4.0062,-0.3748,auto,0
6.2499,1.472,-0.1466,education,1
3.0689,2.8169,-0.1823,auto,0
0.563,1.0274,1.3001,education,1
3.5755,3.9099,0.742,education,0
4.1218,3.5676,-1.9541,home,0
3.9292,1.3626,-0.5462,education,1
2.7094,1.3243,-1.0667,auto,1
0.5089,0.9037,-0.244,home,1
10.6793,1.1482,0.9235,business,0
4.1012,1.1262,-0.4402,business,0
1.0105,5.8815,-0.5797,business,1
0.6273,7.5263,-0.4134,business,0
6.775,0.8184,1.3315,home,0
2.9173,2.0485,-2.1108,business,0
6.7636,2.4546,-2.2513,business,1
0.7151,5.5573,0.0772,home,1
0.7109,3.6572,-2.7528,home,1
2.3664,5.1388,-1.2196,auto,1
1.9398,1.9776,0.5785,business,0
5.6002,3.8581,-2.9343,home,1
5.1056,3.9065,0.8223,home,1
1.6461,1.3589,0.0359,education,0
2.3699,4.1354,-0.5606,auto,0
1.4429,1.4347,-0.2371,business,1
1.8542,6.9555,-0.9354,education,0
4.5894,3.2444,-0.2914,auto,1
3.5715,3.6796,-0.3914,education,1
6.1673,5.4894,-1.3066,auto,1
4.4655,2.7856,0.448,auto,0
5.2622,3.0863,-0.4596,education,1
4.8845,6.1214,1.2488,education,0
1.0955,4.3602,1.2947,business,0
8.1286,6.3983,-2.0607,home,1
3.4007,11.4111,-1.4486,education,1
10.4333,4.0651,-1.3376,auto,1
2.6638,5.0293,0.6305,auto,1
2.4614,1.9401,-0.4832,auto,1
2.9064,2.8575,-0.6796,business,1
4.7969,5.4747,-1.5545,education,0
5.4027,8.9478,-0.5432,home,1
3.3529,5.0183,-1.1491,business,0
2.3894,9.8945,0.3307,auto,0
11.059,4.0374,1.3812,education,1
1.2274,0.7633,-0.1842,business,1
3.6926,9.9699,1.3193,education,1
2.9482,0.8446,-2.7834,auto,0
3.1715,2.4926,-0.3105,auto,0
7.3527,1.9989,-1.317,business,0
3.0806,1.1481,-1.3393,home,1
4.4204,3.7281,0.4818,business,0
2.6511,4.3964,1.6012,education,1
1.7808,7.6934,0.4123,home,1
0.5134,2.8429,2.5148,home,1
3.7546,4.531,0.5318,home,1
3.0963,2.4428,0.0265,home,0
1.9408,4.1358,-0.0954,auto,0
6.661,8.734,-1.6408,auto,1
3.1347,10.1921,0.1336,auto,1
6.607,1.0079,-0.0153,education,1
4.4865,3.861,0.0696,business,0
2.4594,6.9902,0.7391,auto,1
0.3529,3.1334,-0.3236,business,1
0.6634,3.4811,-0.1051,education,0
1.5044,2.1325,0.5062,education,0
9.5865,5.4884,0.0997,auto,1
7.4843,2.7608,-1.2905,education,1
1.1034,3.6914,1.3695,education,0
2.8828,3.6955,0.6953,education,0
1.5439,3.4014,-0.6789,auto,0
3.9283,7.3088,0.3096,auto,0
1.2705,2.3241,0.8773,education,1
8.2688,8.7404,-0.0077,business,0
0.7831,0.9952,0.8827,auto,0
1.8487,3.8422,-1.3419,auto,1
1.4397,2.418,0.5433,auto,0
0.8981,3.1542,0.1284,home,0
2.443,8.4255,0.2511,business,0
3.9238,2.6525,0.8976,education,1
5.9581,15.056,0.7457,business,0
1.153,1.3466,-1.0196,home,0
2.5294,9.3503,0.0413,home,0
3.5468,1.9537,1.5553,education,1
6.0437,4.3466,0.2972,education,1
5.808,2.0283,-0.1589,home,1
3.4421,1.1416,0.7284,education,1
2.7251,7.9463,-0.6211,business,1
1.4142,5.4231,0.7826,business,0
9.5696,13.256,-0.2197,home,1
5.2664,5.4544,1.1867,education,0
1.3798,2.9515,1.9628,auto,0
2.5426,0.0881,-0.0843,home,1
0.9596,1.3333,-0.1933,home,1
3.3715,1.5401,0.2078,education,0
6.4109,2.5905,-0.0829,home,1
5.9536,3.2622,-0.951,home,0
0.8821,1.9246,-0.1549,auto,1
3.8907,3.8539,0.5764,auto,1
4.0404,3.7186,-0.1294,business,0
1.6367,1.5117,0.002,auto,1
