distance_km,traffic_index,vehicle_utilization,route_type,delayed
6.2601,-0.782,-0.253,rural,0
6.2332,0.3357,-0.8685,rural,0
3.6448,0.9009,-0.6477,rural,0
3.4473,0.3429,0.8352,rural,0
4.6856,0.6995,0.9919,interstate,0
2.7514,0.9078,-0.0029,interstate,1
2.4422,-0.4793,-0.3115,interstate,0
6.5606,-0.8021,-0.4524,interstate,1
4.1039,-0.4415,-0.4255,interstate,1
3.1223,0.8974,0.3865,interstate,0
0.3323,0.2726,0.4387,rural,0
1.9525,-0.4084,-0.9797,interstate,1
2.6651,0.9686,-0.6699,urban,0
5.5975,0.0118,-0.0603,urban,0
13.5617,0.146,0.534,interstate,0
0.2523,-0.766,0.5412,rural,0
8.7579,-0.1712,-0.8578,interstate,1
3.0043,0.5668,0.7138,interstate,0
4.8171,-0.8534,-0.8573,interstate,0
3.6263,-0.0084,0.1672,interstate,1
5.998,0.2434,0.4431,urban,1
5.0622,0.3135,0.9763,rural,1
1.5259,0.4774,0.0268,interstate,1
2.3265,-0.3424,0.3035,interstate,0
2.3219,-0.3989,-0.7847,interstate,1
3.3892,0.7806,-0.6688,interstate,1
2.5269,0.447,-0.0367,interstate,0
2.1235,-0.5522,-0.8586,interstate,1
3.5553,-0.0098,0.7597,rural,0
2.8607,0.6053,0.5718,interstate,0
2.5811,0.0436,0.7367,urban,1
3.0818,-0.8932,-0.1564,interstate,0
0.6009,0.1962,0.1126,interstate,0
2.5881,-0.2304,-0.2096,interstate,1
5.3871,-0.4797,0.0781,interstate,0
1.6345,0.302,0.2174,urban,0
3.1385,0.9424,0.3033,rural,1
11.2288,0.6574,-0.1065,rural,1
2.5773,0.2941,0.3478,urban,0
11.2431,0.3061,-0.7388,rural,0
2.3467,0.8236,0.612,interstate,1
6.9665,-0.5308,0.5374,urban,1
2.3105,-0.1615,0.5395,rural,0
1.7051,0.9483,-0.8827,interstate,1
1.2081,-0.891,0.7824,interstate,0
8.9541,-0.8046,0.6662,rural,0
11.9143,-0.4073,-0.9999,interstate,1
2.8389,0.151,-0.7771,rural,0
5.8909,-0.5595,-0.0807,urban,1
1.9502,-0.0614,0.3495,interstate,1
7.0116,-0.9026,0.2318,urban,0
9.3326,-0.0198,0.4243,interstate,1
4.2558,0.2434,0.4816,rural,1
4.1211,-0.5313,0.8901,rural,1
3.6339,-0.9681,-0.6112,urban,1
5.5024,-0.2363,0.0438,urban,1
5.8518,-0.3828,0.6597,urban,1
3.9757,0.3402,0.6205,urban,0
2.4102,0.5926,0.3073,rural,0
2.6162,-0.9531,-0.1198,rural,1
3.2037,0.0927,0.2097,rural,1
5.8908,0.2519,0.9548,interstate,1
1.3973,-0.9,0.8443,rural,1
1.9222,-0.808,-0.0668,interstate,0
2.076,0.9381,0.0378,interstate,0
9.8512,0.4234,0.4045,urban,1
6.1813,0.4928,-0.1727,interstate,0
1.2675,0.2673,-0.4721,interstate,0
3.4835,0.9908,0.1452,urban,0
5.5946,-0.7322,0.8387,rural,1
3.143,-0.6554,0.4871,rural,0
4.6483,0.2672,-0.3733,rural,0
4.6821,-0.7947,0.5256,rural,1
3.3698,0.0085,-0.0101,rural,0
3.8379,-0.4425,-0.7105,interstate,0
0.7098,-0.1256,-0.0183,rural,0
3.4415,0.4409,0.7865,urban,1
2.2603,-0.2419,-0.3054,urban,0
8.0964,0.5054,-0.2776,rural,0
3.2979,0.6528,-0.7128,interstate,0
1.9837,-0.8313,-0.7286,interstate,0
0.8899,0.7488,-0.1123,rural,1
2.4513,-0.8205,0.9752,rural,1
0.4831,0.0118,0.1666,urban,0
1.3527,0.7378,0.6553,interstate,1
1.3427,0.6129,-0.6829,rural,1
8.9134,0.5699,0.6622,urban,1
5.0247,-0.8497,0.8853,interstate,0
1.8592,-0.8515,0.316,interstate,0
9.1537,0.9999,-0.3877,interstate,1
1.0242,0.3019,-0.2794,interstate,1
2.4864,0.1625,-0.8534,urban,0
1.5434,0.9324,0.0288,rural,0
4.997,-0.4353,0.8282,rural,0
8.821,0.9631,-0.4276,rural,1
8.3769,-0.1369,0.4217,rural,0
0.6045,0.1747,0.0086,urban,1
3.3683,0.14,0.9171,interstate,1
2.3499,-0.8686,0.4937,urban,1
3.6882,0.929,0.3835,urban,0
7.1334,-0.7733,-0.9661,urban,1
3.5282,-0.8413,0.6238,urban,0
6.0056,0.7536,0.7764,interstate,0
6.369,-0.0806,-0.6383,urban,1
4.935,-0.5693,-0.936,interstate,0
0.6981,-0.8505,-0.4455,urban,1
1.9507,0.789,0.2655,urban,0
2.8604,-0.5906,0.77,urban,1
5.1694,0.9483,0.6862,rural,0
6.9,0.6203,-0.799,urban,1
3.4791,0.6698,-0.7003,rural,1
4.3381,-0.1703,0.1269,rural,0
2.1229,-0.5574,-0.3598,interstate,0
4.2921,-0.0237,0.4267,urban,1
2.0993,-0.5497,0.2663,rural,1
