temperature_c,humidity_pct,wind_speed,day_type,consumption_mwh
-1.4364,-0.0893,0.6225,weekday,-2.3054
2.1717,-0.2104,0.8439,weekend,1.7514
1.0847,0.4013,0.9354,weekday,1.4171
-0.0811,-0.3095,0.1669,weekday,-1.4492
1.6714,0.0793,0.5251,weekday,0.0167
1.2205,-0.8924,0.2285,weekend,0.4571
-0.2269,-0.1476,-0.1753,weekend,0.4803
1.4451,0.7572,-0.9848,weekend,-2.9282
1.1776,0.1289,-0.0971,weekend,2.7978
-0.409,0.687,-0.4974,weekday,1.0488
-1.9749,0.5945,-0.9225,weekend,-0.2712
0.6204,0.0326,0.0337,weekend,-1.5363
0.8003,-0.0731,-0.9151,weekday,-0.3026
0.0971,0.9399,-0.0159,weekend,-0.4594
0.4444,0.0562,-0.1482,weekend,0.1568
1.4814,0.554,-0.6868,weekend,5.4694
0.7636,-0.8719,-0.7236,weekday,-2.9669
-0.4858,0.1786,0.5902,weekend,-0.4296
-1.5743,0.0878,-0.8641,weekend,-0.368
-0.3382,-0.489,-0.9242,weekend,1.776
-0.0925,-0.6027,0.3703,weekend,0.1101
0.4221,-0.0301,-0.03,weekday,-1.1125
-0.1507,0.3395,0.1657,weekend,1.2864
1.2133,0.9115,-0.5713,weekend,2.5219
2.0698,0.3307,0.6065,weekday,-4.1323
0.2015,0.4036,0.0259,weekend,2.0664
1.2609,0.0073,-0.4205,weekday,4.3405
0.304,-0.7235,-0.0974,weekend,-2.0812
0.1832,0.865,-0.8766,weekday,1.6533
0.2615,0.1269,-0.1935,weekday,0.2691
-0.0813,0.3408,0.0094,weekend,1.8032
-0.8023,0.1777,-0.7642,weekday,-0.3938
2.0181,-0.6459,0.7875,weekday,1.0724
-0.3302,0.3173,-0.6365,weekend,0.3449
0.0117,0.2236,-0.0939,weekday,-0.6122
0.7408,0.16,0.2606,weekday,0.7126
-0.0706,0.3934,-0.9178,weekend,0.6236
-0.9072,-0.9559,-0.8216,weekday,3.2693
0.0495,0.6297,0.7463,weekday,1.3183
1.5291,0.8367,0.0221,weekday,-0.3003
-0.7574,0.2326,0.3006,weekend,0.1398
-0.5699,0.7932,-0.8693,weekend,1.5059
-2.4363,-0.9943,0.6667,weekend,-4.813
0.0226,0.2451,0.2532,weekend,2.2183
1.6475,0.2371,0.8606,weekend,-1.011
1.0209,-0.9014,-0.7305,weekday,1.956
-0.4665,0.3895,-0.8592,weekday,1.6372
-0.8567,-0.5029,0.2952,weekend,-2.5983
3.083,0.1448,-0.4026,weekend,-0.1991
0.9274,0.4811,-0.1302,weekday,0.1707
0.572,0.7304,-0.1138,weekday,-0.8904
0.2764,0.6105,-0.7383,weekend,-3.0465
-1.3477,-0.327,-0.7832,weekend,-0.8322
0.4736,-0.6502,0.9266,weekend,3.4866
1.016,-0.8653,-0.8419,weekday,2.1124
-0.0048,0.2788,-0.9878,weekday,-1.347
-1.2088,-0.6082,0.1557,weekend,0.1985
-0.6267,-0.1829,-0.6718,weekday,-2.0834
-0.0138,0.769,-0.1398,weekend,0.9283
0.6084,0.9668,-0.6503,weekday,2.9429
0.7174,0.3516,-0.389,weekend,-1.6975
0.3866,-0.6917,-0.1051,weekend,1.5633
-2.0568,0.5283,-0.4131,weekday,-0.5486
-0.7886,-0.8544,0.4284,weekday,1.5182
0.1285,0.4295,-0.2268,weekday,-1.0697
1.2769,-0.541,-0.9285,weekday,-3.0679
-0.2785,0.6851,-0.6555,weekend,-0.5512
-1.7233,-0.8681,-0.5651,weekday,-0.6604
-0.3232,0.1915,-0.087,weekend,2.9139
-0.9496,0.029,0.7734,weekday,-0.3452
0.4386,0.6795,-0.4924,weekday,2.0263
-0.067,-0.7356,0.1135,weekend,-0.2386
2.1066,0.3191,-0.2162,weekday,5.532
-2.1636,-0.6644,0.6324,weekday,-2.5906
-1.1067,-0.9094,0.6826,weekend,1.9734
0.2359,-0.8141,0.449,weekend,5.3389
-2.2155,-0.0348,0.5022,weekday,4.1958
0.5075,-0.9303,0.5462,weekend,1.5166
-0.7647,-0.2416,-0.3372,weekday,-2.8453
1.0999,0.2946,-0.4018,weekday,-0.1071
0.1631,-0.3521,0.6359,weekend,2.4807
0.4173,-0.1402,-0.4116,weekend,0.1018
-1.0949,0.0401,-0.7634,weekend,-0.5492
-0.5974,0.6878,0.7936,weekday,-3.8523
0.0442,0.6985,0.1546,weekday,-0.5888
0.0389,0.1433,0.8815,weekend,1.4797
-1.1999,0.3419,-0.4064,weekday,-2.7321
-0.2067,0.1844,-0.1285,weekday,0.6871
2.1522,0.9914,0.442,weekday,3.11
0.7032,-0.1298,-0.9942,weekday,-0.1747
0.8218,-0.8733,0.8507,weekend,0.0603
-0.1095,0.9838,0.8391,weekend,-0.8517
0.1367,0.3777,-0.5193,weekend,-1.3455
0.053,-0.8682,0.8859,weekday,-0.7998
0.5525,-0.7816,-0.8277,weekday,0.3415
0.2138,0.6416,-0.9123,weekend,-1.6506
1.001,0.3073,0.148,weekend,2.0593
-0.6665,0.1107,0.7149,weekend,-2.0946
0.5086,0.4419,0.9548,weekend,1.3582
0.7235,-0.9092,0.123,weekday,0.9099
1.2938,-0.2801,0.5279,weekend,2.4362
-0.1935,-0.9222,-0.6125,weekend,2.9687
1.0756,-0.5443,0.5956,weekend,-1.9324
-1.395,-0.4466,-0.2798,weekend,-1.9519
-0.1394,-0.932,0.8046,weekday,-2.2932
-0.729,-0.8005,-0.7998,weekend,-5.2544
-0.4157,0.364,0.4054,weekday,-1.9189
1.3314,0.881,0.9964,weekday,1.1551
-0.2865,-0.9788,0.5191,weekday,-1.8521
0.3312,0.9332,0.3728,weekend,-0.0082
0.1119,0.689,0.1015,weekend,1.6276
0.5842,-0.4243,-0.5675,weekday,0.4032
1.1248,-0.571,0.2231,weekend,-2.5897
0.4177,-0.3264,0.7838,weekend,3.0613
-0.4673,-0.2242,-0.1849,weekday,1.3783
0.1907,0.0935,-0.045,weekday,1.3112
1.5685,-0.6123,-0.3865,weekend,-0.8167
0.0687,-0.3317,-0.6786,weekday,-0.0284
1.3302,-0.7885,-0.6325,weekday,0.1048
0.3124,-0.8095,0.5749,weekend,0.7682
0.9182,-0.172,-0.9721,weekday,-2.4407
1.7937,0.3567,0.8471,weekend,-2.7911
-0.154,-0.3766,-0.5381,weekend,0.4866
0.3119,0.0413,-0.0761,weekday,0.91
0.6576,-0.5487,-0.9878,weekday,1.6629
-1.1293,0.5714,0.8197,weekend,-0.2853
