time_of_day,weather_index,lane_count,day_of_week,vehicles_per_hour
0.774,0.211,4.2485,mon,-0.1793
-0.8758,0.7099,12.3266,tue,-1.2659
0.1317,0.2865,1.5451,thu,6.1258
0.6197,-0.5473,7.6682,thu,9.6038
0.7065,0.985,2.6945,sat,0.3035
0.5882,0.6016,2.7729,sat,-10.3227
0.492,-0.3991,1.3803,wed,2.7877
-0.0509,0.581,4.2883,fri,-0.412
-0.3325,0.825,4.5029,wed,8.5894
0.3025,-0.7558,3.4566,mon,0.4589
-0.3566,-0.5825,1.5183,fri,-0.8789
0.4881,0.6992,1.5798,sat,2.9295
0.7896,0.4765,1.339,sat,-2.8287
0.6446,-0.5636,4.383,sun,0.1008
-0.8101,-0.875,2.2343,tue,-2.8622
0.264,-0.8269,5.3744,fri,-1.3963
-0.3527,0.2171,2.0569,mon,1.3117
0.7932,-0.6518,2.1043,sun,-2.102
-0.7507,-0.6916,1.1057,fri,3.1444
-0.6937,-0.0372,3.8473,mon,5.4088
0.8897,-0.2323,4.668,sat,-14.3653
0.036,-0.4494,3.6238,sun,0.8608
0.2744,-0.3756,2.241,mon,-3.7455
0.4315,-0.1824,1.3604,sun,-5.4491
0.6383,-0.6015,0.9737,fri,-1.8329
-0.418,-0.3574,3.3893,sat,-7.1655
0.7948,-0.0227,4.4583,sun,18.5384
-0.7994,-0.1972,5.4911,tue,6.2874
0.4692,0.0113,1.8504,sun,1.9764
0.977,-0.9108,2.9496,wed,2.5064
-0.1583,-0.2551,4.6061,wed,7.6408
-0.4806,-0.456,3.6183,wed,-0.2083
0.5439,-0.9893,4.5545,thu,6.542
0.1028,0.4218,2.3712,fri,2.8599
0.712,0.0686,5.8696,sun,-4.354
-0.0868,-0.7949,1.9853,wed,1.7213
0.1942,-0.7426,4.3299,sun,6.0705
-0.8392,-0.5982,0.8636,wed,-0.6331
0.4264,-0.0222,0.9342,fri,-2.6307
-0.8748,0.7563,2.2829,mon,0.4967
-0.0624,-0.4963,3.0176,tue,1.953
-0.6243,-0.9752,1.7716,fri,1.3451
-0.4085,-0.3909,5.2242,thu,11.2593
-0.7885,-0.3402,2.6485,sun,-9.1163
0.5391,-0.584,7.7809,thu,4.1273
-0.1423,0.091,2.6994,wed,-6.7726
0.6033,0.8443,3.0739,thu,-3.8622
0.2218,0.9487,3.6498,tue,4.6538
0.636,0.734,2.9551,sat,1.1703
-0.9331,0.9836,4.7032,sun,-3.7521
-0.8901,0.3425,7.3087,sun,-2.1994
0.839,0.375,0.585,sat,-6.2282
-0.1288,0.6851,3.9942,sat,6.6971
0.024,0.7071,1.6009,thu,3.9648
0.7476,0.8348,7.8554,mon,15.3038
-0.6462,0.4355,5.9142,sun,11.073
-0.7342,0.0335,3.0152,fri,4.3332
-0.542,0.8786,0.8959,tue,-0.0887
-0.9213,-0.186,3.0047,sun,-1.477
-0.8939,0.2609,5.5948,wed,-16.5857
-0.6708,-0.0443,3.5976,thu,-0.9469
-0.1027,-0.6953,3.3813,wed,-2.6
-0.5466,-0.3111,2.1539,wed,-4.2418
0.1721,-0.5099,3.4798,fri,-6.1513
-0.9045,0.7353,1.6383,sat,-10.4751
0.4457,-0.5909,9.348,thu,12.3654
0.7422,0.6901,2.0016,sat,9.8585
-0.7178,0.2194,1.8139,wed,-0.3956
0.7868,0.5333,2.0492,tue,1.0689
0.3249,-0.4511,5.2541,sat,3.0182
-0.0372,-0.0315,3.0432,thu,7.9689
0.8462,0.023,6.2793,thu,2.8752
0.9348,0.3115,6.8346,mon,12.6464
-0.9774,0.2934,5.3714,wed,-5.1445
0.898,0.9387,2.597,thu,6.5975
0.9029,-0.385,1.1475,sat,5.8094
0.0224,0.2044,6.5731,tue,2.1626
-0.0584,-0.586,0.6686,wed,1.5549
0.3873,-0.3514,4.4682,tue,-3.7979
-0.6998,-0.079,8.7737,sun,-10.2636
-0.994,0.8119,1.4838,wed,1.2026
-0.1562,0.3154,4.8996,sun,4.2756
-0.8595,-0.4899,1.6124,wed,1.0726
0.1956,0.2252,1.3942,tue,3.2784
0.0109,0.054,4.3004,thu,5.5983
0.0255,-0.5792,2.9087,thu,3.6084
-0.9257,0.27,3.8094,thu,-3.7187
0.1595,-0.2462,1.1912,tue,-1.5679
0.8174,0.4494,5.6017,thu,6.5756
0.7965,-0.1193,2.1355,thu,3.1548
-0.8495,0.9666,2.507,fri,6.4898
-0.5656,0.3843,4.4975,thu,-11.2638
-0.4407,-0.0555,3.3753,fri,-8.4101
-0.2131,0.1606,4.8885,wed,-1.1122
-0.3035,0.616,8.0272,fri,5.3365
0.0162,-0.2902,7.6888,fri,8.5099
0.8657,0.5683,1.141,mon,0.1602
-0.9426,-0.0657,2.0905,sun,-8.0791
-0.2366,0.1307,6.9659,fri,13.0707
-0.7172,0.7405,1.3451,tue,-1.6236
-0.9778,-0.2734,0.6756,fri,1.8703
0.126,0.3838,6.4988,thu,15.4028
-0.1303,-0.8593,1.637,mon,1.0391
0.2356,-0.304,0.3005,fri,1.2205
-0.4833,0.8877,7.2256,fri,-0.3384
-0.6209,0.1436,6.5304,tue,-0.0396
-0.3663,0.1745,9.2536,thu,8.762
-0.1372,-0.1776,0.9103,thu,-2.143
-0.7739,-0.6185,2.4169,fri,-4.5541
-0.1184,0.0389,2.2296,fri,1.3914
-0.6258,-0.2788,4.3242,fri,17.5379
-0.7005,-0.4747,2.0799,wed,-2.712
0.9466,-0.9691,1.3418,wed,-4.4783
-0.0008,-0.8971,4.3095,mon,-1.9172
0.7158,-0.9054,1.0811,wed,7.4651
0.7181,0.7791,3.5181,thu,-3.3753
0.6727,0.6599,9.8496,wed,1.274
-0.0306,-0.5745,1.1803,fri,-1.8345
0.7527,-0.9167,5.2658,sun,16.0715
0.6936,-0.9462,2.8003,sun,-1.0067
0.3046,-0.7986,5.155,sun,2.8652
0.9841,-0.7819,3.0883,fri,2.3505
-0.675,0.8427,5.0518,sat,12.921
-0.6932,-0.3602,2.0639,mon,5.1047
-0.9185,-0.2794,1.0035,tue,2.8918
0.7303,-0.8149,4.2398,sun,8.8264
0.2714,-0.0918,3.2693,mon,11.983
0.7426,0.3394,0.3837,wed,-0.0201
0.1878,-0.0917,2.0834,sun,-6.1205
0.1066,0.5675,3.1667,tue,3.9937
-0.2788,-0.2956,6.5107,sun,-0.682
-0.7954,-0.6309,2.9571,mon,1.3662
0.773,-0.5326,2.3091,sun,-1.2306
0.2599,0.9569,8.7765,mon,-4.2042
-0.4058,0.6609,2.1969,fri,3.4371
-0.2395,0.9441,7.2012,wed,2.2663
0.6279,-0.7598,1.2962,wed,-2.1725
-0.9448,0.2202,5.4489,thu,-1.701
0.6972,0.0136,6.2846,fri,-12.5664
-0.8441,0.3251,6.0835,tue,5.7308
-0.1482,0.3417,1.1763,mon,-1.0198
-0.0155,0.6863,2.3284,thu,-0.4846
-0.4024,0.7622,1.7088,mon,-0.2521
0.2586,-0.9688,6.3567,sat,18.2839
0.1657,0.1648,3.3095,thu,-2.2505
0.7441,-0.2119,1.6547,tue,-0.1115
0.6556,-0.7202,6.8107,sun,5.6763
0.5753,-0.2297,19.128,sat,-38.705
0.3481,0.0233,4.5822,thu,-6.4859
-0.7226,-0.6333,1.7675,wed,-4.8328
0.298,-0.3361,3.5964,tue,-3.8472
-0.2679,-0.8952,0.8439,fri,-0.3291
-0.2617,0.3172,3.499,sat,-1.8091
0.1233,-0.6873,11.3219,sat,-23.4354
-0.8177,0.2299,5.2215,mon,-4.333
-0.2786,0.6528,10.4576,fri,7.6756
-0.5927,0.2184,2.2726,wed,4.1584
-0.6888,-0.0348,3.2993,thu,0.6948
0.0298,0.0262,0.8067,tue,-1.4662
-0.0919,0.4704,9.3967,sun,-9.1003
0.5721,0.3606,7.7104,sun,4.127
-0.3369,-0.4229,3.609,fri,3.1864
-0.6986,-0.5697,5.4457,sun,-16.7337
-0.0196,-0.4269,7.8146,fri,15.8126
0.4697,0.4976,1.5619,mon,-0.4243
-0.9222,-0.9595,8.4878,wed,2.0378
0.1926,-0.6179,4.8168,tue,5.3677
0.4876,-0.7724,4.6797,mon,-1.071
-0.023,-0.0125,7.2427,mon,-18.9588
-0.6428,-0.6276,2.5622,sun,-8.6868
-0.6155,0.4722,5.1579,thu,4.2246
0.4064,-0.4134,1.6031,thu,-0.522
-0.9868,-0.5695,8.4258,fri,-8.541
0.2141,0.4485,2.3826,thu,3.9251
0.0492,0.139,1.1715,sun,4.8676
-0.6533,-0.8331,13.3743,wed,-43.2753
0.5211,0.7973,6.2899,thu,-10.6269
0.2091,-0.131,1.4969,sun,2.8413
-0.6769,0.4248,2.4029,sat,-2.3976
0.2273,-0.2727,5.6756,thu,-4.7198
0.3607,0.5451,7.4773,fri,27.6267
0.2196,0.9773,5.1383,mon,-5.0008
0.4836,0.4144,7.3878,sun,-22.8944
0.1031,-0.9045,0.9139,fri,-0.6651
0.4903,-0.2835,2.9226,sat,-0.0034
0.9406,0.8177,2.971,thu,-1.8372
0.3786,0.4796,3.1769,mon,0.8733
0.9087,0.4157,4.8795,sat,7.2698
0.3027,-0.6285,1.7851,mon,2.7871
-0.6691,0.9589,6.889,sun,-11.3044
-0.6772,0.6841,10.0222,sun,-6.7783
0.2455,-0.3168,10.0914,wed,6.9551
-0.9966,-0.3832,2.9936,thu,-3.951
-0.0153,-0.7703,12.7783,tue,21.6383
-0.1686,-0.4972,3.5095,mon,-8.9712
0.2204,0.5011,5.464,mon,-2.5418
0.761,0.9936,3.1867,tue,0.4263
-0.608,-0.2417,5.5161,sat,2.8545
-0.3504,0.5097,6.1906,wed,-6.8397
0.4334,0.2247,3.0556,thu,-1.9677
-0.5576,0.3381,1.9376,thu,-1.9754
0.8905,-0.8474,6.4056,tue,-1.7241
-0.9709,-0.7165,0.9438,wed,-1.1529
-0.2392,-0.2063,4.1907,tue,0.7212
0.8944,-0.3734,3.6397,sun,2.4105
