marketing_spend_k,sales_team_size,seasonality_index,region,quarterly_revenue_k
2.6723,2.7431,-0.9986,east,5.3926
4.5417,10.1096,0.4643,south,-9.4121
2.7724,1.3543,0.3278,south,-10.0096
8.7618,5.3207,0.4511,east,27.7834
0.7245,1.8103,0.8139,west,3.3606
4.0489,3.9627,0.0618,south,-14.6625
1.5273,0.9333,0.1337,east,-0.0625
2.2777,1.193,-0.0531,east,4.7608
3.7021,3.8215,0.2529,east,0.6079
7.624,2.4535,-0.9495,south,-3.0159
2.6237,12.5699,-0.1297,north,-5.7475
3.1072,2.2603,0.2515,north,1.8858
3.9269,2.556,-0.7432,north,-6.6488
5.4678,11.5486,-0.2246,east,-34.8818
4.294,2.472,0.1903,west,-0.6406
3.3676,0.6219,-0.1357,north,5.747
2.8579,2.4235,0.0855,west,1.4229
4.9046,6.5326,0.7653,south,7.714
3.0772,1.2819,0.8397,south,-6.4125
9.0538,10.164,0.9611,south,27.8822
1.8084,4.5748,0.7193,east,-0.2347
2.6129,0.3343,0.9341,south,-7.8295
2.0674,4.7786,-0.1193,south,-1.2039
2.911,1.6872,0.521,west,2.2662
1.2441,4.0462,0.997,east,-10.7025
0.9056,2.5416,-0.4772,west,1.3871
2.1857,0.8122,-0.4952,north,-2.7746
4.1372,2.1253,0.8641,south,9.5619
3.4525,2.9226,-0.0223,west,-4.7034
2.1864,5.3399,0.1912,south,-13.2488
2.42,3.0981,-0.599,west,-1.4577
11.9936,6.8393,-0.3844,south,-0.0109
3.236,20.6764,0.9015,west,35.2101
2.555,1.3722,0.9114,west,-6.6052
1.7052,2.7101,-0.9269,north,-4.3811
5.7875,7.0756,0.1318,east,4.591
1.3848,1.8018,0.5364,north,-5.6007
1.3248,2.3286,0.6734,west,-3.1447
2.137,7.2725,-0.314,south,11.6936
1.8455,1.4257,0.8316,west,8.4443
5.7103,3.13,0.749,east,3.8737
2.8566,0.9704,-0.3023,south,2.9213
8.9247,3.2579,-0.0097,north,1.9881
3.1325,3.5915,-0.526,east,12.8079
1.3542,4.4936,0.8498,south,0.4181
1.9849,3.2927,-0.0506,north,7.3445
13.5344,1.1143,-0.3715,south,-14.7032
2.6729,0.3881,0.2954,west,-1.3413
0.4224,3.7407,-0.4711,south,6.1344
2.9272,8.2833,-0.9102,north,-8.8053
3.731,2.6857,0.0367,north,0.1765
2.5664,2.1939,0.71,east,-0.9641
5.1506,0.9398,-0.1346,west,-6.3203
5.0154,3.6526,-0.8103,north,-9.5403
2.0888,4.6384,-0.5858,west,6.444
1.5403,6.8617,0.6053,east,-5.2082
13.0556,4.41,-0.1173,south,0.9915
2.0684,1.1188,-0.9855,east,2.0408
4.3049,1.5798,0.3264,east,5.3121
2.8349,0.4824,0.7775,east,5.9561
0.0657,2.9149,0.4265,west,-8.807
5.1872,10.6282,0.3168,south,48.4099
6.4078,4.4929,-0.5103,north,1.1912
9.0524,7.4754,0.9494,south,-24.5204
11.7453,4.0399,0.9934,south,-11.2236
4.9009,5.9563,-0.4054,west,11.802
1.4075,2.3528,-0.4582,east,3.8457
8.644,1.3123,-0.1268,south,-17.3338
2.415,3.2634,0.0519,east,1.4305
4.3065,1.0097,-0.3933,west,-4.8953
0.9289,3.1373,0.6906,south,5.3859
6.5572,1.9079,-0.3067,south,-8.2588
1.6598,2.4308,-0.3999,west,7.8567
4.5393,4.8304,-0.7032,south,-4.2949
2.0957,1.2492,0.6643,west,1.9359
1.8857,2.9302,0.6909,east,-3.1259
0.6507,3.2852,-0.3977,south,-9.913
8.7827,6.358,-0.4474,north,-4.4747
1.6458,3.1281,0.8473,north,5.8399
5.0494,1.5522,-0.1708,east,11.593
8.1028,3.1142,-0.8224,west,-14.2153
2.2291,3.794,0.8763,south,-10.0244
1.3851,1.2427,-0.9511,east,4.9357
9.5457,7.1497,-0.934,south,12.248
7.7006,1.0481,0.2726,north,16.8443
2.6479,2.3406,-0.1916,east,3.4221
3.6336,6.7287,-0.1301,south,10.4663
8.5537,1.0677,0.1985,south,4.073
5.4852,2.7776,-0.6625,west,2.7839
2.9032,1.832,0.6207,west,2.8817
2.6725,1.5438,0.111,west,-6.5324
1.7511,4.2961,-0.6359,south,13.1131
4.2376,4.7909,-0.0646,east,-12.1448
4.9471,0.7153,-0.0085,east,9.6237
0.6803,3.4355,0.8321,west,6.9031
2.4139,5.9082,0.3033,east,9.8841
3.7728,4.5081,-0.6142,east,-5.1376
1.3853,6.181,-0.8986,north,-2.9171
1.2741,3.8252,0.7044,north,-5.7304
1.0517,0.3599,0.9902,west,-0.8985
5.7001,19.3313,0.6008,north,42.5317
4.7908,2.3124,0.6669,west,0.0842
11.9716,2.6592,0.6035,south,-24.1564
2.0765,5.0295,-0.9783,south,-2.4687
2.2952,4.4137,0.6687,south,-2.9913
3.8805,2.4029,-0.5975,west,-0.558
3.3096,3.8975,0.7885,west,5.7741
3.8924,2.299,0.684,west,-1.8
2.3719,5.0302,0.6988,south,7.3381
1.566,3.6517,-0.2588,east,4.8463
7.2595,6.2876,0.056,east,-19.176
3.4674,6.6196,0.4415,north,-6.0996
5.1342,5.194,-0.5044,south,-0.2379
1.2305,6.5891,0.0805,west,1.9322
2.4948,9.5514,-0.4609,south,20.8745
1.9606,0.4614,0.1308,west,5.914
2.8521,4.0353,0.9037,south,-10.7079
1.4088,1.5676,0.0964,north,2.6901
3.8809,3.3874,-0.2286,east,0.6032
2.2351,1.869,0.705,east,-2.9469
10.0281,2.5633,-0.0997,south,12.7997
1.2104,5.8703,0.0251,north,3.341
3.3781,7.9342,0.6292,west,-1.0906
3.1897,7.5963,0.334,west,13.0696
5.7369,2.0804,-0.7989,west,5.302
3.4958,2.5047,-0.276,north,18.3231
2.4831,2.0562,0.8549,west,7.6269
3.0791,3.7745,0.7586,west,0.0549
1.8192,2.7481,-0.4357,south,8.9839
0.9238,3.6058,0.2088,north,-2.0124
8.2625,1.9361,-0.7026,north,8.7819
4.2196,7.4963,0.1102,north,-12.6768
1.0985,5.1416,-0.1529,south,-2.2499
2.8905,7.0557,0.3289,east,-2.2611
4.4137,3.1924,0.8113,south,-5.1894
2.3088,3.1689,0.3854,west,12.7426
3.3593,3.9956,-0.5047,north,-3.8992
4.2305,4.6509,0.4661,east,6.4702
2.9716,5.8446,0.582,east,5.9754
3.1191,3.0412,0.4337,south,-4.3977
5.9814,5.4042,-0.7864,north,7.8819
1.1122,6.803,0.2553,west,11.7009
0.693,5.5012,-0.6227,west,-6.6567
2.1183,6.9974,-0.3314,west,5.6821
7.1189,1.4102,-0.7118,east,6.978
2.4319,2.0913,0.6029,east,1.0991
2.2048,1.4393,-0.117,east,-5.4992
3.2382,3.6424,0.2662,west,-14.9228
4.9208,1.368,-0.7563,south,6.266
6.0798,5.8421,0.3933,north,27.0459
1.8376,4.1578,0.1853,north,2.5099
1.3103,8.7741,-0.8318,east,-17.698
7.5501,5.5163,0.6577,north,15.4182
6.1328,2.3691,0.027,west,4.9409
2.7618,3.8165,0.7738,north,2.4126
5.0738,2.7774,0.1195,north,4.1656
8.5287,0.7898,-0.5284,east,2.6124
4.4661,6.2539,0.6673,south,-0.5614
0.9158,4.5562,0.6271,north,3.2127
3.2543,1.4009,0.4122,west,8.8533
0.9314,5.4736,-0.3239,north,-3.6013
2.2366,1.1588,0.4294,south,-2.8078
5.5286,1.8998,0.9776,south,0.3576
0.6641,4.0978,-0.5609,south,4.6918
5.2318,3.9491,-0.147,north,5.1105
1.7702,6.0496,-0.5295,west,-1.3882
3.1458,7.2488,-0.0614,north,-15.2604
1.7015,3.6246,0.8259,east,-0.742
2.287,0.5526,-0.2832,east,-2.3744
3.7387,5.4352,-0.6221,east,8.7431
2.599,0.8672,-0.9482,east,0.022
2.1228,3.0723,-0.3297,north,6.6781
6.776,1.7269,0.6197,north,-4.4705
3.8365,5.7013,0.7737,south,7.3908
0.9188,4.3404,-0.6775,west,-17.208
7.9196,2.9601,0.7953,west,6.5374
2.8152,1.0272,-0.5302,north,1.4056
2.5211,0.9504,0.0016,east,-1.9705
1.3721,2.4177,0.5851,north,-5.292
9.2448,2.6213,0.3286,south,2.7949
2.3132,4.304,0.258,north,-4.2493
3.959,1.5491,0.3619,east,-15.5393
9.0013,1.1769,0.1998,west,-1.185
2.9064,7.4941,-0.0706,south,0.8553
4.5678,6.2181,-0.9223,east,1.7867
1.7224,0.8473,-0.7731,north,0.1096
