call_duration_min,first_contact_resolution,agent_experience_years,issue_type,satisfaction_score
5.7324,-0.8925,3.5742,billing,-13.1908
6.639,0.0174,10.6156,technical,9.9392
6.3633,0.2067,9.9366,technical,-17.8228
2.3335,-0.3486,4.7408,billing,-12.4494
5.9472,0.9236,6.1895,general,9.9101
2.8468,0.6596,0.3442,general,-2.2122
1.8705,-0.4942,2.4323,general,0.104
6.3783,-0.8186,1.2484,general,0.4882
3.8044,-0.3639,1.8095,billing,-0.7268
4.8386,-0.259,6.9838,general,8.8808
2.5451,-0.1531,1.4896,technical,3.9383
3.1254,0.0404,2.2774,general,-15.3804
4.5947,-0.2604,3.4892,technical,-5.3926
4.1541,-0.5847,1.5204,technical,-5.3665
4.6971,0.9136,6.8183,general,0.6789
5.7348,-0.9959,0.6508,billing,3.4801
1.5818,0.0946,10.0862,technical,-21.4939
1.5293,0.7089,7.3087,general,-1.5795
2.081,-0.8974,4.5582,technical,-5.5945
8.9563,-0.2796,3.4169,billing,17.2156
3.2792,-0.0535,6.2359,billing,2.5583
0.857,-0.268,4.8405,general,3.0297
1.4826,0.5804,6.5927,technical,4.5364
4.4848,0.9472,3.6944,technical,0.9716
6.5411,-0.969,2.4684,general,11.4018
3.1351,0.735,1.1537,billing,1.4919
9.855,0.1483,0.6998,billing,6.5528
7.2468,0.6058,3.8711,billing,0.0557
4.2442,0.8324,3.2906,technical,-0.0665
4.3202,-0.9553,4.7638,billing,-12.2132
4.3619,0.3246,1.2482,general,-2.2951
1.0622,0.882,5.929,general,7.0782
2.716,0.933,1.8428,billing,7.1532
4.2162,-0.8925,2.0979,billing,-13.6627
2.1564,-0.0202,2.1862,technical,-0.7507
3.102,0.0878,4.0159,billing,-1.2275
7.0207,-0.5538,3.7313,technical,3.4278
1.9214,-0.9452,0.8662,billing,3.0206
5.9359,-0.6792,4.1497,general,-11.773
3.7192,0.3947,2.7403,general,6.9811
4.6438,-0.316,0.7834,general,-6.7758
2.9573,0.6133,2.698,general,2.7278
3.4767,-0.3093,7.5027,billing,12.5282
5.5868,0.6268,3.1891,general,-2.5643
5.8501,0.9083,3.2004,general,10.4801
0.2605,-0.6546,2.7727,general,4.7456
5.2113,0.7485,2.6322,billing,12.3045
8.1637,0.1392,8.3401,technical,0.3482
6.02,0.5195,5.4044,general,2.057
5.4246,-0.8827,0.7545,technical,-2.7142
3.104,-0.8701,1.3891,billing,-9.2061
0.7451,-0.6273,3.9246,general,-2.5199
2.5254,-0.4191,1.8971,technical,3.1243
11.5164,-0.9267,0.062,billing,-24.4724
8.4684,-0.3852,10.3992,billing,5.2958
6.8462,0.6799,1.1258,general,-21.8773
8.4004,-0.882,1.0876,billing,-11.6662
5.4922,0.0993,2.2785,technical,-0.3132
3.087,-0.958,6.7059,billing,-0.5126
5.5609,-0.7557,4.1823,billing,22.5857
9.3311,0.714,11.8634,technical,-5.08
6.9732,0.7934,13.8152,general,4.332
2.9854,0.0351,7.7242,billing,-0.5979
6.4179,0.8614,3.8532,general,-26.9954
8.29,0.2223,4.267,general,15.0697
1.1763,0.0416,7.5001,technical,7.9851
3.9949,-0.7027,2.349,general,6.4314
4.211,-0.834,3.6295,billing,-4.0783
3.945,-0.0046,2.3939,billing,0.7173
8.6057,-0.5538,0.9673,general,8.4385
4.6001,0.5829,2.2727,billing,-1.1899
2.6631,-0.7192,5.9661,technical,0.8905
4.9465,-0.9967,8.3577,general,11.8068
4.8352,-0.1652,3.5583,technical,4.2215
1.7016,-0.3193,1.741,billing,0.2746
2.7037,0.3837,8.0343,technical,27.4329
6.217,-0.8649,8.5514,billing,-23.6642
1.1381,-0.8156,5.3456,technical,11.5496
2.2895,0.6752,2.7781,billing,3.6928
9.7196,0.3358,4.7513,billing,5.9967
2.1991,0.7863,7.1347,technical,7.4964
4.4973,-0.1158,1.9539,technical,9.0445
0.8652,-0.5961,2.7156,technical,-6.3281
4.3786,-0.7686,4.1746,billing,3.9557
10.0416,-0.0719,1.7366,technical,-25.0059
4.1782,-0.904,1.6445,technical,10.393
7.7136,0.6801,9.6442,general,-15.688
2.5139,0.2994,2.4263,billing,-2.1933
