years_at_company,job_satisfaction,performance_score,department,left_company
4.1565,-0.4299,0.5558,hr,0
7.8499,-0.3252,0.5911,hr,0
3.0032,0.2246,-0.8162,sales,0
7.5431,-0.7225,-0.088,sales,1
2.1989,0.8682,0.3577,hr,1
1.3949,-0.6593,0.8732,finance,1
4.151,-0.0198,-0.714,hr,1
3.1939,0.7117,-2.2739,engineering,1
3.5913,0.5232,1.4313,engineering,1
4.2535,-0.0951,-1.4461,finance,0
1.1455,0.7524,1.3279,sales,0
6.3571,-0.2911,-1.2331,finance,1
1.4898,-0.412,-1.003,finance,1
7.176,0.7901,-1.6581,finance,0
0.8754,-0.5886,-0.3437,sales,0
2.1935,0.8133,1.3773,finance,0
3.6835,-0.4723,0.5307,finance,0
7.2183,0.1345,-0.5923,engineering,1
2.6198,-0.2984,-0.0201,hr,0
2.1353,0.6874,-1.6065,engineering,1
4.742,-0.5113,-0.1477,engineering,1
7.0423,0.0898,0.1137,hr,1
1.7601,-0.9178,-1.1128,finance,0
6.528,0.8545,-0.8674,engineering,0
8.7688,-0.434,-0.8323,sales,0
0.742,0.917,-0.0706,engineering,0
9.3457,-0.5025,-1.1114,hr,1
5.1665,0.6088,-0.0001,engineering,1
2.0654,-0.2481,0.8289,hr,0
4.1327,0.9229,0.4219,sales,0
5.2244,-0.7455,-0.2872,finance,0
2.0819,0.6784,1.6117,sales,0
1.032,0.1692,-0.2444,finance,0
4.6252,0.4383,-0.4688,sales,1
8.8923,-0.0525,1.1975,finance,0
3.2273,0.2255,0.6541,sales,0
4.3735,0.0934,-0.7792,finance,1
2.3514,0.627,1.1567,hr,0
2.4613,-0.2905,-0.4831,engineering,1
3.4798,-0.2188,-0.5485,hr,1
4.4159,0.847,-0.5888,engineering,0
1.7958,-0.3518,-1.0747,sales,0
3.7397,0.3586,0.233,engineering,0
2.5483,0.8448,1.6182,finance,1
0.5061,0.3975,-0.1338,hr,0
3.5753,0.0571,2.1894,sales,1
2.2714,0.0932,-0.2304,finance,0
1.7614,0.7995,-0.6166,sales,1
5.9055,-0.897,1.1934,hr,0
3.965,0.0688,-0.8783,sales,0
1.2102,0.3065,0.4022,sales,1
0.7765,0.7565,2.1674,sales,1
2.3571,0.775,-0.3373,finance,1
4.0662,0.9429,0.3556,finance,1
7.0942,0.3909,0.8458,hr,1
3.0405,-0.9799,0.2676,sales,1
1.0725,-0.7466,-1.4664,engineering,1
2.6819,-0.8472,-0.4933,engineering,1
3.1957,-0.5116,-1.461,hr,1
3.4975,-0.7257,-0.0871,hr,0
9.5513,0.5284,1.4323,finance,0
5.9505,-0.9623,0.2037,finance,0
7.4689,0.8201,0.6963,engineering,1
2.0436,0.4585,1.8512,hr,0
2.653,0.0378,-0.0381,engineering,1
3.3501,0.5427,1.0275,hr,1
1.416,0.1369,0.7056,finance,0
2.95,-0.1828,1.7955,sales,1
3.1774,-0.5452,-0.2924,sales,1
3.9362,-0.5441,0.1254,hr,1
7.3287,-0.7736,-1.6115,finance,0
9.9264,-0.2794,-0.3284,hr,1
6.364,-0.9489,-0.6514,hr,1
1.9202,0.5252,0.2927,finance,1
0.7099,0.3184,0.5133,engineering,0
2.9772,0.9448,1.2277,sales,0
1.0298,-0.1021,0.4924,engineering,1
5.0321,-0.4262,-1.9691,finance,0
0.4749,-0.7584,0.9829,engineering,1
11.0454,0.0298,-1.2153,engineering,0
0.4308,0.2333,-0.1758,finance,1
2.262,0.4002,-0.6802,sales,1
1.8343,-0.3591,-0.1476,engineering,1
1.3617,0.6881,-0.6281,engineering,0
0.877,-0.4435,-0.8736,hr,0
2.7298,0.9776,-0.1986,engineering,1
4.5845,0.7813,-1.803,hr,0
1.7439,0.6621,-0.5699,finance,1
8.865,0.3374,-0.0238,sales,0
3.496,0.5541,1.3535,hr,0
1.2909,0.2546,0.7173,engineering,1
1.0316,-0.6029,0.198,sales,0
1.6696,0.376,0.092,engineering,0
1.074,0.2601,-0.3109,hr,1
4.5055,0.9126,-1.1658,finance,0
1.7683,-0.4642,-0.4777,hr,0
3.5093,0.8247,-0.4261,hr,0
1.5128,-0.7794,0.6833,sales,1
0.8836,0.1058,-0.742,engineering,1
3.1375,-0.2522,0.0089,sales,0
1.8484,-0.4338,-0.3637,sales,0
2.2299,0.724,-0.337,sales,0
4.7752,0.5852,-0.3814,sales,1
4.674,-0.2468,-1.4425,hr,1
10.9404,-0.2127,0.8543,sales,1
3.1379,-0.3351,0.1827,finance,1
2.17,0.6793,-2.3776,hr,1
1.7709,-0.4637,-1.0702,engineering,1
1.6342,-0.8371,-0.6007,engineering,1
3.5245,0.771,-0.9561,finance,0
4.1094,0.3534,-0.6822,engineering,1
0.5377,0.209,-0.852,engineering,0
3.787,-0.059,-0.9668,sales,0
7.1058,-0.2991,-1.1898,hr,0
2.3371,0.534,-0.6769,engineering,1
4.5949,0.0446,-1.2319,hr,0
1.1597,-0.9947,1.5809,engineering,0
2.4778,0.0234,-0.4207,sales,0
1.2082,0.6773,-1.7806,engineering,1
1.0302,-0.0198,-0.8124,hr,0
0.8332,-0.1518,0.4513,hr,0
10.7127,-0.9888,-1.4769,sales,1
4.0555,0.391,0.9532,finance,0
2.9209,0.5012,2.5136,engineering,1
5.3049,-0.7611,-0.3247,hr,1
9.1633,0.6965,0.6876,hr,1
2.1709,-0.8701,-0.1549,finance,0
2.5327,0.6842,-1.4187,finance,1
2.6777,-0.8189,-1.5423,engineering,0
6.984,-0.5065,0.7663,engineering,1
5.0494,-0.172,0.5055,hr,1
2.5211,0.2837,0.4714,finance,0
1.6826,0.364,1.4359,hr,0
4.2278,-0.7694,1.17,hr,0
2.472,-0.2822,-1.8959,sales,0
4.8386,-0.122,-0.349,finance,1
4.1413,-0.3997,0.0423,sales,1
1.9231,0.0244,0.479,engineering,0
4.7594,-0.8924,0.4295,finance,1
4.0769,-0.8392,1.5061,hr,0
5.8032,-0.575,-1.3615,sales,0
1.967,-0.4336,-0.428,hr,0
4.0803,0.5357,0.6525,finance,1
7.3028,-0.1292,-0.8229,finance,0
2.7784,-0.2036,0.7324,sales,0
4.0832,0.0139,-1.6966,finance,0
3.6156,0.6048,-1.3854,hr,1
2.2656,-0.84,-0.0859,finance,1
6.7289,-0.8999,-1.2605,sales,0
10.1496,0.272,1.397,engineering,0
8.009,0.7854,-0.9257,finance,0
7.516,0.625,-0.178,hr,1
2.8203,0.7659,0.9622,hr,1
1.6975,-0.9023,1.6107,engineering,0
1.1955,-0.4546,-2.4218,hr,1
5.5718,0.418,-0.1357,finance,0
4.1131,-0.9749,-1.3682,finance,1
3.5196,0.7046,-0.8887,engineering,0
2.9543,-0.0652,-0.7357,finance,1
1.2264,-0.5306,-1.5744,sales,0
6.8833,0.5337,-0.1964,engineering,1
4.3083,0.7695,-0.3048,finance,0
3.0588,-0.6861,1.3533,finance,1
5.7279,-0.1635,0.4295,sales,0
2.3598,0.1386,-1.5019,finance,0
3.9723,0.7493,0.3173,hr,0
2.6543,-0.1127,-1.8069,hr,1
3.4654,0.4972,-1.3317,finance,0
3.3621,0.5532,1.1074,sales,0
0.9172,0.4332,-0.8369,engineering,1
1.5575,-0.2671,0.086,hr,0
5.418,-0.5105,-1.4685,hr,0
4.3662,-0.558,-0.3647,engineering,0
1.4675,0.6104,0.6323,engineering,0
3.4632,0.4423,-0.0732,engineering,0
2.4469,-0.244,0.6406,finance,1
2.2528,-0.5514,0.1731,hr,0
9.7093,0.6378,-0.0251,sales,1
7.6205,0.0695,0.5131,engineering,0
3.5316,-0.5433,1.8441,hr,1
5.8791,0.0451,-1.4772,finance,1
6.42,-0.0434,0.9863,finance,0
