distance_km,order_size,warehouse_load_pct,transport_mode,late_delivery
3.3396,5.0002,-0.5003,road,0
10.5554,2.967,0.3297,sea,1
0.6843,4.6696,0.0684,road,0
6.9065,0.5098,0.4659,sea,0
6.4272,2.9379,0.5861,road,0
3.224,3.1402,-0.0924,road,1
3.6837,2.9906,-0.2876,air,1
1.9981,2.5341,0.5281,air,0
6.5015,6.2551,0.9852,sea,1
3.9344,0.2633,0.4394,sea,1
0.8978,1.4456,-0.3218,sea,0
2.4543,8.3255,-0.6867,road,1
4.1931,5.3517,-0.1784,road,1
7.7737,3.6729,0.2778,road,1
4.9836,5.9612,0.0305,sea,1
4.5362,6.4016,0.5465,sea,1
2.6413,5.1073,0.1477,air,1
3.782,5.019,0.6767,road,1
3.0048,1.4357,0.4961,road,0
3.4674,5.3867,-0.637,sea,1
6.6343,8.098,-0.5631,air,1
6.5619,9.0101,0.1354,road,1
6.198,3.242,-0.0359,road,1
2.9191,5.5852,-0.8577,road,0
3.9804,11.6528,0.1806,air,1
3.8589,4.9404,0.7064,sea,1
5.8331,8.9223,0.6913,road,0
5.0777,7.9133,-0.8772,road,0
4.7605,6.9794,-0.8022,air,1
0.7527,0.9192,0.9927,sea,1
1.3645,9.6264,0.0672,sea,0
5.3151,4.7513,-0.263,sea,1
1.2542,3.2984,0.3152,road,1
5.1459,6.7629,-0.329,sea,0
2.7161,4.8785,-0.3537,sea,0
13.3273,6.1218,0.1675,road,0
1.896,1.3961,0.9623,air,0
2.3036,2.6439,0.5566,air,0
5.7954,2.3594,-0.2661,air,0
5.2817,2.9374,0.6368,sea,1
1.817,15.0919,0.9609,road,1
0.4594,7.9184,-0.663,air,0
4.7644,7.306,-0.9737,sea,0
3.0567,9.4843,0.5026,road,0
4.8032,3.6125,0.8914,sea,0
3.7571,1.2074,0.859,road,0
1.261,1.8429,0.8533,air,0
1.138,4.6202,0.7432,road,1
3.334,2.9373,-0.7422,air,1
3.1518,1.9548,0.285,road,1
5.3902,3.8399,0.4374,air,0
3.3898,4.3906,-0.2558,road,0
3.662,1.3753,0.2753,sea,1
2.1357,2.5261,-0.5188,sea,0
7.2672,7.7494,-0.8618,road,1
2.247,1.6181,0.2257,sea,0
1.5807,9.6517,-0.6316,sea,0
17.5816,3.0431,-0.316,sea,0
3.7286,8.1676,-0.002,air,0
4.4486,6.8839,0.3513,air,1
3.5059,4.2586,0.8233,sea,0
1.763,7.0593,-0.7223,sea,0
3.6154,1.8123,-0.2351,air,0
0.9697,7.156,-0.9097,sea,0
2.5413,1.985,0.238,sea,0
