operating_hours,temperature_c,pressure_bar,machine_type,failure_within_30d
6.2626,-1.231,1.1288,type_a,0
6.9333,-0.1183,-0.1765,type_b,1
2.7273,0.3028,-1.4121,type_c,1
9.5136,-0.4143,-0.0956,type_c,1
2.8714,0.252,-0.5968,type_b,1
4.4943,0.8702,1.0994,type_c,0
4.3313,1.0146,0.0326,type_c,1
3.9147,1.2497,-0.9973,type_b,0
9.923,0.6872,0.1758,type_b,1
2.2508,0.0841,0.5111,type_c,1
3.0681,-0.8292,-2.4527,type_a,0
2.6631,-0.3226,1.51,type_a,0
5.0073,1.1902,-0.3868,type_c,0
8.5719,-2.4996,-0.3761,type_b,0
3.6129,0.9096,-1.2071,type_c,1
3.0715,0.4855,-1.4201,type_b,1
4.6967,-1.2867,-1.1114,type_a,1
8.4188,-0.7863,-0.338,type_a,0
6.2091,-0.5946,0.2962,type_a,1
4.4913,-0.209,1.0251,type_b,0
2.403,-0.767,-0.3966,type_c,0
2.052,-1.4234,0.1714,type_b,1
2.5679,-0.952,-2.0365,type_b,1
3.8814,-1.834,-1.0261,type_a,1
1.5264,0.8029,-0.8172,type_b,1
1.9013,-0.8513,-1.8889,type_b,0
9.7682,-0.0233,-0.7283,type_a,0
5.24,-0.5695,-1.6283,type_b,1
6.2272,-0.2421,-0.0232,type_c,0
2.7011,-0.8931,-0.4326,type_b,1
1.103,-0.139,-0.0283,type_b,0
2.3948,-0.1588,0.7579,type_c,1
2.7258,1.2485,1.0266,type_b,1
6.3253,-1.1448,0.4488,type_a,1
1.8135,-0.3176,-0.2829,type_a,0
1.6703,0.3275,-0.8539,type_b,0
0.7896,0.5414,-1.2217,type_a,0
3.3841,-0.587,0.7465,type_a,0
2.6338,0.5445,1.2105,type_b,0
8.5667,-0.2459,0.6731,type_c,0
2.5236,-0.5222,1.8497,type_b,0
5.1173,0.2448,-0.7598,type_b,1
9.5935,-0.1725,-0.0925,type_a,0
4.7234,0.2397,-0.2069,type_a,0
2.2612,0.2398,1.5829,type_c,0
1.2223,0.1829,1.3116,type_a,0
7.8719,0.6036,-0.9224,type_b,0
0.546,-0.6843,0.1809,type_b,0
7.0884,-0.0144,-0.4002,type_a,0
1.6078,0.9207,0.3991,type_c,0
1.9293,-1.4681,0.7901,type_c,1
5.9268,0.1511,0.8319,type_a,0
1.6298,-1.1491,-1.279,type_a,1
8.7068,-0.429,0.3513,type_c,0
2.9015,-1.3205,-0.7877,type_a,0
5.079,-0.6209,-0.4081,type_b,1
1.3733,-0.1068,0.6271,type_c,1
13.4247,0.1691,-0.9829,type_c,0
5.6564,-0.1916,-0.1275,type_c,1
5.5868,0.6407,-0.4561,type_b,0
4.5906,-0.5491,-0.116,type_a,1
1.2137,0.2078,-1.0685,type_c,1
2.5063,-0.2156,1.345,type_b,0
0.5446,-0.3889,0.8454,type_c,0
3.284,-1.8775,0.0068,type_a,1
6.4923,0.6004,-0.4959,type_a,1
3.9595,-0.0146,-1.0396,type_a,1
2.5346,0.1366,-1.1188,type_c,0
1.547,-0.0059,1.6418,type_c,1
5.0563,0.464,1.4851,type_c,0
1.4971,-1.8043,-1.0569,type_c,0
2.8217,1.6405,0.5635,type_a,1
6.5971,1.8495,-0.6845,type_a,1
1.656,1.5703,-2.2401,type_a,1
8.1586,-0.7717,0.2656,type_b,0
1.85,2.5375,-0.0006,type_b,0
0.6424,-0.566,0.0283,type_b,0
2.986,0.7407,-0.5119,type_a,1
0.2635,-1.7314,-0.7825,type_c,1
2.0649,0.2944,0.8653,type_c,0
8.0616,0.2901,1.1486,type_a,1
2.8026,1.8196,-1.4281,type_a,1
6.0149,-0.1572,-0.092,type_a,1
5.1819,-1.7628,1.8191,type_a,0
3.2513,-0.7329,-1.4,type_a,1
2.0667,-0.6986,-1.3272,type_b,0
6.9998,0.1312,-0.179,type_a,0
2.9297,0.6115,0.9366,type_c,0
7.6476,1.6948,0.6972,type_a,0
8.8629,-0.6668,-0.9991,type_b,1
1.8018,2.0975,1.0288,type_c,0
5.0721,1.8286,-0.579,type_a,1
0.8811,0.6655,2.0417,type_b,1
2.2555,1.0481,-0.1659,type_a,1
8.4681,1.3531,0.0173,type_a,0
2.7898,-1.5397,0.8178,type_c,1
3.1427,-1.1104,-0.4474,type_a,0
1.2219,-0.5135,0.8664,type_b,0
4.2062,-1.4178,-0.1647,type_a,1
3.4541,-0.3859,-0.9507,type_c,1
1.5544,0.03,1.5266,type_a,1
4.5216,-0.749,-0.5184,type_c,1
3.3745,-0.4973,-1.1511,type_b,0
1.2681,0.0987,0.3192,type_b,1
3.5875,0.1514,-0.213,type_c,1
1.5762,0.6952,-1.6086,type_b,0
1.3259,-1.7441,1.4663,type_b,1
2.4591,-0.9536,1.3259,type_c,1
3.7063,-0.9089,0.23,type_a,1
5.3014,1.4765,-0.4726,type_a,0
0.9307,0.9548,-0.591,type_b,1
2.343,0.7323,0.5089,type_c,1
11.3364,-0.6639,2.396,type_a,0
11.2594,0.2836,1.709,type_b,1
4.3081,0.3658,-0.0348,type_b,0
3.4016,-0.6557,-0.0827,type_a,0
5.1794,-2.8917,-0.5192,type_b,0
4.6415,-0.0372,-0.9746,type_b,1
1.9936,-0.9765,-1.5066,type_c,1
4.7568,-1.0744,-0.8151,type_c,0
2.8728,-0.1212,0.5447,type_c,1
1.7825,0.2354,1.0695,type_b,0
9.2589,1.0271,-0.8561,type_c,0
2.4413,1.1676,-1.4111,type_a,0
3.0904,0.9969,0.4154,type_b,1
3.0226,-0.4027,1.7156,type_b,1
2.1123,0.549,0.0942,type_b,1
6.0752,-0.5176,-1.2576,type_c,1
7.0313,-1.7198,1.1987,type_a,0
2.6464,-0.7624,-0.5742,type_a,1
2.1572,-0.8556,-0.0109,type_a,1
4.6475,1.216,0.4251,type_a,0
0.2329,-1.7421,-0.6253,type_b,1
0.637,0.9416,-1.2983,type_c,1
1.5962,0.3531,1.0383,type_a,0
2.4001,1.2348,0.7587,type_b,1
3.3802,1.6192,0.9543,type_b,0
10.4242,-0.7092,-0.6078,type_a,0
1.1114,0.8756,-0.3649,type_a,0
4.4473,-0.9873,-1.428,type_b,1
6.1188,0.2013,1.6738,type_b,1
3.8719,-1.4675,0.5929,type_a,0
2.5463,0.1451,-1.0702,type_c,1
1.1806,0.1364,-0.9675,type_c,0
3.3953,-0.2459,-0.721,type_c,1
3.6093,0.1517,-1.3589,type_b,1
2.8882,0.0788,-0.6182,type_c,1
4.3787,0.255,-0.1422,type_c,1
2.1351,-0.1475,0.0285,type_a,1
2.3999,-0.5756,0.6672,type_b,1
1.4914,-1.8869,-0.866,type_b,0
1.5492,-0.0665,0.77,type_a,1
0.2584,-0.9373,-1.1493,type_c,1
5.0245,-1.4886,1.2375,type_a,1
6.3934,-0.2047,0.602,type_c,0
3.3371,0.0278,-0.8388,type_c,0
3.5217,-0.6351,0.0623,type_c,0
14.9196,-0.9998,0.5606,type_a,0
0.6799,-0.0506,-0.807,type_a,1
5.0613,-0.7758,-0.9752,type_a,0
13.012,3.0517,0.3017,type_a,0
1.98,-0.6256,-0.6084,type_b,1
1.9118,0.1349,-0.7827,type_c,0
2.5806,-1.1812,0.1806,type_a,0
2.0678,2.4574,-1.0263,type_c,1
8.701,0.774,1.5926,type_c,0
4.3274,0.0581,-1.1699,type_c,0
1.2868,0.8251,1.0286,type_a,0
6.4437,1.1625,1.2793,type_a,0
3.6869,0.4386,-1.167,type_a,0
5.2923,-1.1864,-0.671,type_b,1
3.791,0.0018,-0.4998,type_c,1
4.3722,-0.4883,-0.0299,type_b,0
0.3203,0.4381,-0.908,type_c,1
1.7738,-0.8076,0.4879,type_c,0
2.5039,0.3878,-0.3502,type_a,1
3.073,1.6753,1.1181,type_a,1
3.3032,1.6303,2.3211,type_c,1
4.7241,-1.7175,-0.715,type_b,0
6.1455,-2.8698,-0.2751,type_a,0
9.4539,0.0676,0.8001,type_b,1
2.4562,-0.8941,-1.1477,type_a,1
4.0197,0.9899,1.5102,type_a,1
3.6938,-0.5326,-0.9754,type_a,0
0.8652,-1.2534,-1.5352,type_a,0
2.8621,-1.5292,-0.1786,type_c,0
7.3317,2.0353,-1.0877,type_c,0
5.4584,1.0032,0.6422,type_b,1
8.9412,-0.0715,0.1083,type_a,1
0.7988,1.2978,-0.2625,type_b,0
0.7177,0.6687,-0.2192,type_b,0
4.5526,0.7103,-0.6037,type_b,1
